Aafrika	アフリカ
Kategooria:1332	Category:1332年
Kategooria:1333	Category:1333年
Kategooria:1335	Category:1335年
Kategooria:1336	Category:1336年
Kategooria:Surnud 1336	Category:1336年没
Kategooria:1338	Category:1338年
Kategooria:Sündinud 1339	Category:1339年生
Mall:User da-3	Template:User da-3
Kategooria:Surnud 1339	Category:1339年没
Kategooria:Sündinud 1340	Category:1340年生
Kategooria:1341	Category:1341年
Kategooria:Surnud 1341	Category:1341年没
Kategooria:1342	Category:1342年
Kategooria:Surnud 1342	Category:1342年没
Kategooria:1343	Category:1343年
Kategooria:Surnud 1343	Category:1343年没
Kategooria:Surnud 1344	Category:1344年没
Kategooria:Surnud 1345	Category:1345年没
Kategooria:1346	Category:1346年
Kategooria:Surnud 1347	Category:1347年没
Kategooria:1348	Category:1348年
Kategooria:Surnud 1348	Category:1348年没
Kategooria:Surnud 1349	Category:1349年没
Kategooria:1350	Category:1350年
Kategooria:Surnud 1350	Category:1350年没
Kategooria:1351	Category:1351年
Kategooria:Sündinud 1351	Category:1351年生
Kategooria:Sündinud 1352	Category:1352年生
Kategooria:Surnud 1352	Category:1352年没
Kategooria:1353	Category:1353年
Kategooria:Sündinud 1353	Category:1353年生
Kategooria:1354	Category:1354年
Kategooria:Surnud 1354	Category:1354年没
Kategooria:1355	Category:1355年
Kategooria:1356	Category:1356年
Kategooria:Sündinud 1357	Category:1357年生
Kategooria:1358	Category:1358年
Kategooria:Surnud 1358	Category:1358年没
Kategooria:1359	Category:1359年
Kategooria:1360	Category:1360年
Kategooria:1361	Category:1361年
Kategooria:Sündinud 1361	Category:1361年生
Kategooria:Surnud 1361	Category:1361年没
Kategooria:Sündinud 1362	Category:1362年生
Kategooria:Surnud 1362	Category:1362年没
Kategooria:Sündinud 1363	Category:1363年生
Kategooria:1364	Category:1364年
Kategooria:Surnud 1364	Category:1364年没
Kategooria:1365	Category:1365年
Kategooria:Surnud 1365	Category:1365年没
Kategooria:1366	Category:1366年
Kategooria:1367	Category:1367年
Kategooria:Surnud 1367	Category:1367年没
Kategooria:Sündinud 1368	Category:1368年生
Kategooria:1369	Category:1369年
Kategooria:Surnud 1369	Category:1369年没
Kategooria:1370	Category:1370年
Kategooria:Surnud 1370	Category:1370年没
Kategooria:1371	Category:1371年
Kategooria:Sündinud 1371	Category:1371年生
Kategooria:1373	Category:1373年
Kategooria:Sündinud 1373	Category:1373年生
Kategooria:Surnud 1373	Category:1373年没
Kategooria:Surnud 1374	Category:1374年没
Kategooria:1375	Category:1375年
Kategooria:Fašism	Category:ファシズム
Kategooria:1376	Category:1376年
Kategooria:Sündinud 1377	Category:1377年生
Kategooria:1378	Category:1378年
Kategooria:Loomaanatoomia	Category:動物解剖学
Kategooria:Surnud 1378	Category:1378年没
Kategooria:Feodalism	Category:封建制
Kategooria:1379	Category:1379年
Kategooria:Sulamid	Category:合金
Kategooria:Baha'i usk	Category:バーブ＝バハーイー教
Kategooria:Surnud 1380	Category:1380年没
Kategooria:1381	Category:1381年
Kategooria:Uroloogia	Category:泌尿器科学
Kategooria:Surnud 1381	Category:1381年没
Kategooria:Vietnami sõda	Category:ベトナム戦争
Kategooria:Sündinud 1382	Category:1382年生
Kategooria:1383	Category:1383年
Kategooria:Psühhoanalüüs	Category:精神分析学
Kategooria:1384	Category:1384年
Kategooria:Sündinud 1384	Category:1384年生
Kategooria:Lümfisüsteem	Category:リンパ系
Kategooria:1385	Category:1385年
Kategooria:Surnud 1385	Category:1385年没
Kategooria:1386	Category:1386年
Kategooria:Sündinud 1386	Category:1386年生
Kategooria:Sündinud 1387	Category:1387年生
Kategooria:Sündinud 1388	Category:1388年生
Kategooria:Surnud 1388	Category:1388年没
Kategooria:1389	Category:1389年
Kategooria:Surnud 1389	Category:1389年没
Kategooria:1390	Category:1390年
Kategooria:Sündinud 1390	Category:1390年生
Kategooria:Psühhoteraapia	Category:心理療法
Kategooria:Meditsiinilised erialad	Category:臨床医学
Kategooria:Sündinud 1391	Category:1391年生
Kategooria:1503	Category:1503年
Kategooria:Sündinud 1392	Category:1392年生
Kategooria:1393	Category:1393年
Kategooria:Sündinud 1394	Category:1394年生
Kategooria:Surnud 1394	Category:1394年没
Kategooria:1396	Category:1396年
Kategooria:1529	Category:1529年
Kategooria:Sündinud 1396	Category:1396年生
Mall:User ja-2	Template:User ja-2
Kategooria:1397	Category:1397年
Kategooria:Sündinud 1397	Category:1397年生
Kategooria:Surnud 1397	Category:1397年没
Kategooria:Sündinud 1398	Category:1398年生
Mall:User ko-2	Template:User ko-2
Kategooria:Surnud 1398	Category:1398年没
Mall:User ko-1	Template:User ko-1
Kategooria:1399	Category:1399年
Kategooria:Surnud 1399	Category:1399年没
Mall:User cs	Template:User cs
Kategooria:Sündinud 1400	Category:1400年生
Kategooria:1528	Category:1528年
Kategooria:1401	Category:1401年
Kategooria:1523	Category:1523年
Kategooria:Sündinud 1401	Category:1401年生
Kategooria:Surnud 1401	Category:1401年没
Kategooria:Surnud 1402	Category:1402年没
Kategooria:Sündinud 1403	Category:1403年生
Kategooria:Surnud 1403	Category:1403年没
Kategooria:1404	Category:1404年
Kategooria:Sündinud 1404	Category:1404年生
Kategooria:1405	Category:1405年
Mall:User ru-2	Template:User ru-2
Kategooria:Sündinud 1405	Category:1405年生
Kategooria:1406	Category:1406年
Kategooria:Surnud 1406	Category:1406年没
Mall:User es-3	Template:User es-3
Kategooria:Surnud 1407	Category:1407年没
Kategooria:1408	Category:1408年
Kategooria:Jaapani kultuur	Category:日本の文化
Kategooria:1516	Category:1516年
Kategooria:Jaapani geograafia	Category:日本の地理
Kategooria:Sündinud 1409	Category:1409年生
Kategooria:Surnud 1409	Category:1409年没
Kategooria:Surnud 1410	Category:1410年没
Kategooria:Sündinud 1411	Category:1411年生
Kategooria:Surnud 1411	Category:1411年没
Kategooria:Sündinud 1412	Category:1412年生
Kategooria:Marss	Category:火星
Kategooria:1413	Category:1413年
Kategooria:Prantsusmaa jõed	Category:フランスの河川
Kategooria:1414	Category:1414年
Kategooria:Sündinud 1414	Category:1414年生
Kategooria:Surnud 1414	Category:1414年没
Kategooria:1530	Category:1530年
Kategooria:Surnud 1415	Category:1415年没
Kategooria:1522	Category:1522年
Kategooria:Sündinud 1416	Category:1416年生
Kategooria:1525	Category:1525年
Kategooria:1417	Category:1417年
Kategooria:Sündinud 1417	Category:1417年生
Kategooria:1531	Category:1531年
Kategooria:1418	Category:1418年
Kategooria:Sündinud 1418	Category:1418年生
Kategooria:1419	Category:1419年
Kategooria:Endokrinoloogia	Category:内分泌学
Kategooria:Surnud 1419	Category:1419年没
Kategooria:Hematoloogia	Category:血液学
Kategooria:Sündinud 1420	Category:1420年生
Kategooria:Surnud 1421	Category:1421年没
Kategooria:1422	Category:1422年
Kategooria:1527	Category:1527年
Kategooria:Surnud 1422	Category:1422年没
Kategooria:1513	Category:1513年
Kategooria:Sündinud 1423	Category:1423年生
Kategooria:1449	Category:1449年
Kategooria:1424	Category:1424年
Kategooria:1508	Category:1508年
Kategooria:Surnud 1424	Category:1424年没
Kategooria:1504	Category:1504年
Kategooria:Sündinud 1425	Category:1425年生
Kategooria:1509	Category:1509年
Kategooria:1426	Category:1426年
Kategooria:Surnud 1426	Category:1426年没
Kategooria:1506	Category:1506年
Kategooria:Sündinud 1427	Category:1427年生
Kategooria:1519	Category:1519年
Kategooria:1428	Category:1428年
Kategooria:Sündinud 1428	Category:1428年生
Kategooria:1429	Category:1429年
Kategooria:1430	Category:1430年
Kategooria:Sündinud 1430	Category:1430年生
Kategooria:1431	Category:1431年
Kategooria:Surnud 1431	Category:1431年没
Kategooria:Sündinud 1432	Category:1432年生
Kategooria:1510	Category:1510年
Kategooria:Sündinud 1433	Category:1433年生
Kategooria:1434	Category:1434年
Kategooria:1512	Category:1512年
Kategooria:1435	Category:1435年
Kategooria:1524	Category:1524年
Kategooria:1436	Category:1436年
Kategooria:Poola jalgpall	Category:ポーランドのサッカー
Kategooria:Surnud 1436	Category:1436年没
Kategooria:1437	Category:1437年
Kategooria:Surnud 1437	Category:1437年没
Kategooria:Sündinud 1438	Category:1438年生
Kategooria:1439	Category:1439年
Kategooria:Sündinud 1439	Category:1439年生
Kategooria:1440	Category:1440年
Kategooria:Surnud 1440	Category:1440年没
Kategooria:Surnud 1441	Category:1441年没
Kategooria:Sündinud 1442	Category:1442年生
Kategooria:1443	Category:1443年
Kategooria:Surnud 1443	Category:1443年没
Kategooria:Sündinud 1444	Category:1444年生
Kategooria:Poola jalgpalliklubid	Category:ポーランドのサッカークラブ
Kategooria:Surnud 1444	Category:1444年没
Kategooria:1445	Category:1445年
Kategooria:Surnud 1445	Category:1445年没
Kategooria:1447	Category:1447年
Kategooria:Surnud 1447	Category:1447年没
Kategooria:Sündinud 1449	Category:1449年生
Kategooria:1450	Category:1450年
Kategooria:Surnud 1450	Category:1450年没
Kategooria:Sündinud 1451	Category:1451年生
Kategooria:Sündinud 1452	Category:1452年生
Kategooria:Sündinud 1453	Category:1453年生
Kategooria:Surnud 1453	Category:1453年没
Kategooria:Surnud 1454	Category:1454年没
Kategooria:Sündinud 1455	Category:1455年生
Kategooria:Sündinud 1456	Category:1456年生
Kategooria:1457	Category:1457年
Kategooria:1458	Category:1458年
Kategooria:Surnud 1458	Category:1458年没
Kategooria:Sündinud 1459	Category:1459年生
Kategooria:1460	Category:1460年
Kategooria:Surnud 1460	Category:1460年没
Kategooria:Sündinud 1461	Category:1461年生
Kategooria:1462	Category:1462年
Kategooria:1463	Category:1463年
Kategooria:Sündinud 1463	Category:1463年生
Kategooria:1464	Category:1464年
Kategooria:Sündinud 1465	Category:1465年生
Kategooria:1466	Category:1466年
Kategooria:Surnud 1466	Category:1466年没
Kategooria:1467	Category:1467年
Kategooria:Surnud 1467	Category:1467年没
Kategooria:1468	Category:1468年
Kategooria:Sündinud 1468	Category:1468年生
Kategooria:Surnud 1468	Category:1468年没
Kategooria:Sündinud 1469	Category:1469年生
Kategooria:Surnud 1469	Category:1469年没
Kategooria:1470	Category:1470年
Kategooria:Surnud 1470	Category:1470年没
Kategooria:1471	Category:1471年
Kategooria:Sündinud 1471	Category:1471年生
Kategooria:Surnud 1471	Category:1471年没
Kategooria:1473	Category:1473年
Kategooria:Sündinud 1473	Category:1473年生
Kategooria:1474	Category:1474年
Kategooria:Sündinud 1474	Category:1474年生
Kategooria:1475	Category:1475年
Kategooria:Sündinud 1475	Category:1475年生
Kategooria:1476	Category:1476年
Kategooria:Surnud 1476	Category:1476年没
Kategooria:Sündinud 1477	Category:1477年生
Kategooria:1478	Category:1478年
Kategooria:Sündinud 1478	Category:1478年生
Kategooria:1479	Category:1479年
Kategooria:Sündinud 1479	Category:1479年生
Kategooria:Surnud 1479	Category:1479年没
Kategooria:Sündinud 1480	Category:1480年生
Kategooria:Surnud 1480	Category:1480年没
Kategooria:Sündinud 1481	Category:1481年生
Kategooria:Iirimaa näitlejad	Category:アイルランドの俳優
Kategooria:1482	Category:1482年
Kategooria:User pt-2	Category:User pt-2
Kategooria:1483	Category:1483年
Kategooria:Surnud 1483	Category:1483年没
Kategooria:Sündinud 1484	Category:1484年生
Kategooria:Surnud 1484	Category:1484年没
Kategooria:Sündinud 1485	Category:1485年生
Kategooria:Sündinud 1486	Category:1486年生
Kategooria:Surnud 1486	Category:1486年没
Kategooria:Sündinud 1487	Category:1487年生
Kategooria:Surnud 1487	Category:1487年没
Kategooria:Sündinud 1488	Category:1488年生
Kategooria:Surnud 1488	Category:1488年没
Kategooria:Sündinud 1489	Category:1489年生
Kategooria:1490	Category:1490年
Loveči piirkond	ロヴェチ州
Kategooria:1491	Category:1491年
Kategooria:User ro-3	Category:User ro-3
Kategooria:Surnud 1491	Category:1491年没
Kategooria:Sündinud 1492	Category:1492年生
Kategooria:1493	Category:1493年
Kategooria:Sündinud 1493	Category:1493年生
Kategooria:1494	Category:1494年
Kategooria:Sündinud 1494	Category:1494年生
Kategooria:Surnud 1494	Category:1494年没
Kategooria:User ru	Category:User ru
Kategooria:Sündinud 1495	Category:1495年生
Kategooria:1496	Category:1496年
Kategooria:User ru-2	Category:User ru-2
Kategooria:Surnud 1496	Category:1496年没
Kategooria:1497	Category:1497年
Kategooria:User ru-3	Category:User ru-3
Kategooria:Sündinud 1497	Category:1497年生
Kategooria:1498	Category:1498年
Tsentrism	中道政治
Kategooria:User ru-4	Category:User ru-4
Kategooria:Keskkonnakaitseorganisatsioonid	Category:環境保護団体
Kategooria:Sündinud 1499	Category:1499年生
Kategooria:Lõuna-Aafrika Vabariigi presidendid	Category:南アフリカ共和国の大統領
Kategooria:1500	Category:1500年
Kategooria:Surnud 1500	Category:1500年没
Kategooria:1501	Category:1501年
Kategooria:Sündinud 1501	Category:1501年生
Kategooria:Surnud 1501	Category:1501年没
Kategooria:Sündinud 1502	Category:1502年生
Kategooria:Surnud 1502	Category:1502年没
Kategooria:Sündinud 1503	Category:1503年生
Kategooria:Sündinud 1504	Category:1504年生
Kategooria:Surnud 1504	Category:1504年没
Kategooria:Sündinud 1505	Category:1505年生
Kategooria:Sündinud 1506	Category:1506年生
Kategooria:1507	Category:1507年
Kategooria:Surnud 1507	Category:1507年没
Kategooria:Sündinud 1508	Category:1508年生
Kategooria:Sündinud 1509	Category:1509年生
Kategooria:Sündinud 1510	Category:1510年生
Kategooria:1511	Category:1511年
Kategooria:Surnud 1511	Category:1511年没
Kategooria:Sündinud 1512	Category:1512年生
Kategooria:User sme	Category:User se
Kategooria:1514	Category:1514年
Kategooria:Surnud 1514	Category:1514年没
Kategooria:Sündinud 1515	Category:1515年生
Kategooria:Sündinud 1516	Category:1516年生
Kategooria:1517	Category:1517年
Kategooria:Surnud 1517	Category:1517年没
Kategooria:Sündinud 1518	Category:1518年生
Kategooria:Sündinud 1519	Category:1519年生
Kategooria:Surnud 1519	Category:1519年没
Kategooria:1520	Category:1520年
Kategooria:Surnud 1520	Category:1520年没
Kategooria:Sündinud 1521	Category:1521年生
Kategooria:Sündinud 1522	Category:1522年生
Kategooria:User sk-1	Category:User sk-1
Kategooria:Sündinud 1524	Category:1524年生
Kategooria:Surnud 1524	Category:1524年没
Kategooria:Sündinud 1525	Category:1525年生
Kategooria:1526	Category:1526年
Kategooria:Surnud 1526	Category:1526年没
Kategooria:Sündinud 1527	Category:1527年生
Kategooria:Sündinud 1528	Category:1528年生
Kategooria:Sündinud 1529	Category:1529年生
Kategooria:Surnud 1529	Category:1529年没
Kategooria:Sündinud 1530	Category:1530年生
Kategooria:Sündinud 1531	Category:1531年生
Kategooria:1532	Category:1532年
Kategooria:Sündinud 1532	Category:1532年生
Kategooria:Surnud 1532	Category:1532年没
Kategooria:Sündinud 1533	Category:1533年生
Kategooria:1534	Category:1534年
Kategooria:Surnud 1534	Category:1534年没
Kategooria:Surnud 1535	Category:1535年没
Kategooria:User sr	Category:User sr
Kategooria:Sündinud 1536	Category:1536年生
Kategooria:User sr-1	Category:User sr-1
Kategooria:Sündinud 1537	Category:1537年生
Kategooria:1538	Category:1538年
Kategooria:Sündinud 1538	Category:1538年生
Kategooria:Surnud 1538	Category:1538年没
Kategooria:Sündinud 1539	Category:1539年生
Kategooria:Surnud 1539	Category:1539年没
Kategooria:Sündinud 1540	Category:1540年生
Kategooria:1541	Category:1541年
Kategooria:Sündinud 1541	Category:1541年生
Kategooria:1542	Category:1542年
Kategooria:1543	Category:1543年
Kategooria:1544	Category:1544年
Kategooria:Sündinud 1544	Category:1544年生
Kategooria:Surnud 1544	Category:1544年没
Kategooria:User sv-1	Category:User sv-1
Kategooria:1545	Category:1545年
Kategooria:User sv-3	Category:User sv-3
Kategooria:Surnud 1545	Category:1545年没
Kategooria:Sündinud 1546	Category:1546年生
Kategooria:1547	Category:1547年
Kategooria:User sv-N	Category:User sv-N
Kategooria:1548	Category:1548年
Kategooria:Surnud 1548	Category:1548年没
Kategooria:1550	Category:1550年
Kategooria:Surnud 1550	Category:1550年没
Kategooria:Sündinud 1551	Category:1551年生
Kategooria:Surnud 1551	Category:1551年没
Kategooria:Sündinud 1552	Category:1552年生
Kategooria:Sündinud 1553	Category:1553年生
Kategooria:1554	Category:1554年
Kategooria:Surnud 1554	Category:1554年没
Mall:Apollo programm	Template:アポロ計画
Kategooria:Sündinud 1555	Category:1555年生
Kategooria:1557	Category:1557年
Kategooria:Surnud 1557	Category:1557年没
Kategooria:1558	Category:1558年
Kategooria:Surnud 1558	Category:1558年没
Kategooria:1559	Category:1559年
Kategooria:Sündinud 1559	Category:1559年生
Kategooria:Sündinud 1560	Category:1560年生
Kategooria:Surnud 1560	Category:1560年没
Kategooria:Sündinud 1561	Category:1561年生
Kategooria:Surnud 1561	Category:1561年没
Kategooria:1562	Category:1562年
Kategooria:Surnud 1562	Category:1562年没
Kategooria:Sündinud 1563	Category:1563年生
Kategooria:Sündinud 1564	Category:1564年生
Kategooria:1565	Category:1565年
Kategooria:Surnud 1565	Category:1565年没
Kategooria:Sündinud 1566	Category:1566年生
Kategooria:1567	Category:1567年
Kategooria:Surnud 1567	Category:1567年没
Kategooria:1568	Category:1568年
Kategooria:Surnud 1568	Category:1568年没
Kategooria:Sündinud 1569	Category:1569年生
Kategooria:1570	Category:1570年
Kategooria:Sündinud 1570	Category:1570年生
Kategooria:Surnud 1570	Category:1570年没
Kategooria:1571	Category:1571年
Kategooria:Surnud 1571	Category:1571年没
Kategooria:Sündinud 1572	Category:1572年生
Kategooria:1573	Category:1573年
Kategooria:Sündinud 1573	Category:1573年生
Kategooria:1574	Category:1574年
Kategooria:Surnud 1574	Category:1574年没
Kategooria:Sündinud 1575	Category:1575年生
Kategooria:Sündinud 1576	Category:1576年生
Kategooria:1577	Category:1577年
Kategooria:Surnud 1577	Category:1577年没
Kategooria:Sündinud 1578	Category:1578年生
Kategooria:1579	Category:1579年
Kategooria:Surnud 1579	Category:1579年没
Kategooria:Sündinud 1580	Category:1580年生
Kategooria:1581	Category:1581年
Kategooria:Surnud 1581	Category:1581年没
Kategooria:Sündinud 1582	Category:1582年生
Kategooria:1583	Category:1583年
Siseministeerium (üldmõiste)	内務省
Kategooria:Surnud 1583	Category:1583年没
Kategooria:Sündinud 1585	Category:1585年生
Kategooria:1586	Category:1586年
Kategooria:Surnud 1586	Category:1586年没
Kategooria:Sündinud 1587	Category:1587年生
Kategooria:1588	Category:1588年
Kategooria:Surnud 1588	Category:1588年没
Kategooria:Surnud 1589	Category:1589年没
Kategooria:Sündinud 1590	Category:1590年生
Kategooria:1591	Category:1591年
Kategooria:Surnud 1591	Category:1591年没
Kategooria:Sündinud 1592	Category:1592年生
Kategooria:1593	Category:1593年
Kategooria:Surnud 1593	Category:1593年没
Kategooria:1594	Category:1594年
Kategooria:Surnud 1594	Category:1594年没
Kategooria:Sündinud 1595	Category:1595年生
Kategooria:Sündinud 1596	Category:1596年生
Kategooria:1597	Category:1597年
Kategooria:1598	Category:1598年
Kategooria:Surnud 1598	Category:1598年没
Kategooria:Sündinud 1599	Category:1599年生
Kategooria:1600	Category:1600年
Kategooria:1601	Category:1601年
Kategooria:Surnud 1601	Category:1601年没
Kategooria:Sündinud 1602	Category:1602年生
Mall:Jalgpallimatši protokolli mallid	Template:Match report templates
Kategooria:1603	Category:1603年
Kategooria:Surnud 1603	Category:1603年没
Kategooria:Surnud 1604	Category:1604年没
Kategooria:Sündinud 1605	Category:1605年生
Kategooria:1606	Category:1606年
Kategooria:Surnud 1606	Category:1606年没
Kategooria:Sündinud 1607	Category:1607年生
Kategooria:1608	Category:1608年
Kategooria:Surnud 1608	Category:1608年没
Kategooria:Sündinud 1609	Category:1609年生
Kategooria:Sündinud 1610	Category:1610年生
Kategooria:Sündinud 1612	Category:1612年生
Kategooria:Sündinud 1613	Category:1613年生
Kategooria:Sündinud 1614	Category:1614年生
Kategooria:Sündinud 1615	Category:1615年生
Kategooria:1616	Category:1616年
Kategooria:1617	Category:1617年
Kategooria:Surnud 1617	Category:1617年没
Kategooria:Sündinud 1618	Category:1618年生
Kategooria:1619	Category:1619年
Kategooria:Surnud 1619	Category:1619年没
Kategooria:Sündinud 1620	Category:1620年生
Kategooria:1621	Category:1621年
Kategooria:User tr	Category:User tr
Kategooria:Surnud 1621	Category:1621年没
Kategooria:Sündinud 1622	Category:1622年生
Kategooria:1623	Category:1623年
Kategooria:Surnud 1623	Category:1623年没
Kategooria:Sündinud 1624	Category:1624年生
Kategooria:1625	Category:1625年
Kategooria:Surnud 1625	Category:1625年没
Kategooria:Sündinud 1626	Category:1626年生
Kategooria:User tr-N	Category:User tr-N
Kategooria:1627	Category:1627年
Kategooria:1628	Category:1628年
Kategooria:Surnud 1628	Category:1628年没
Kategooria:Sündinud 1629	Category:1629年生
Kategooria:1630	Category:1630年
Kategooria:Surnud 1630	Category:1630年没
Kategooria:Sündinud 1631	Category:1631年生
Kategooria:1632	Category:1632年
Kategooria:Surnud 1632	Category:1632年没
Kategooria:Sündinud 1633	Category:1633年生
Kategooria:User uk-1	Category:User uk-1
Kategooria:1634	Category:1634年
Kategooria:Surnud 1634	Category:1634年没
Kategooria:Sündinud 1635	Category:1635年生
Kategooria:1636	Category:1636年
Kategooria:Surnud 1636	Category:1636年没
Kategooria:Sündinud 1637	Category:1637年生
Kategooria:1638	Category:1638年
Kategooria:1639	Category:1639年
Kategooria:Surnud 1639	Category:1639年没
Kategooria:Sündinud 1640	Category:1640年生
Kategooria:1641	Category:1641年
Kategooria:Surnud 1641	Category:1641年没
Kategooria:Sündinud 1642	Category:1642年生
Kategooria:1643	Category:1643年
Kategooria:Surnud 1643	Category:1643年没
Kategooria:Sündinud 1644	Category:1644年生
Kategooria:1645	Category:1645年
Kategooria:Polüneesia keeled	Category:ポリネシア諸語
Kategooria:Surnud 1645	Category:1645年没
Kategooria:1646	Category:1646年
Kategooria:Surnud 1646	Category:1646年没
Kategooria:Sündinud 1647	Category:1647年生
Kategooria:1648	Category:1648年
Kategooria:Surnud 1648	Category:1648年没
Kategooria:Sündinud 1649	Category:1649年生
Kategooria:1650	Category:1650年
Kategooria:Surnud 1650	Category:1650年没
Kategooria:Prantsusmaa valimised	Category:フランスの選挙
Kategooria:1651	Category:1651年
Kategooria:Surnud 1651	Category:1651年没
Kategooria:Sündinud 1652	Category:1652年生
Kategooria:Sündinud 1653	Category:1653年生
Kategooria:1654	Category:1654年
Kategooria:Sündinud 1654	Category:1654年生
Kategooria:Surnud 1654	Category:1654年没
Kategooria:Sündinud 1655	Category:1655年生
Kategooria:1656	Category:1656年
Kategooria:Surnud 1656	Category:1656年没
Kategooria:Sündinud 1657	Category:1657年生
Kategooria:1658	Category:1658年
Kategooria:Surnud 1658	Category:1658年没
Kategooria:1660	Category:1660年
Kategooria:Sündinud 1660	Category:1660年生
Kategooria:Sündinud 1661	Category:1661年生
Kategooria:1662	Category:1662年
Kategooria:Surnud 1662	Category:1662年没
Kategooria:Sündinud 1663	Category:1663年生
Kategooria:1664	Category:1664年
Kategooria:Surnud 1664	Category:1664年没
Kategooria:Sündinud 1665	Category:1665年生
Kategooria:Sündinud 1666	Category:1666年生
Kategooria:1667	Category:1667年
Kategooria:Surnud 1667	Category:1667年没
Kategooria:Surnud 1668	Category:1668年没
Kategooria:Sündinud 1669	Category:1669年生
Kategooria:1670	Category:1670年
Kategooria:Surnud 1670	Category:1670年没
Kategooria:Sündinud 1671	Category:1671年生
Kategooria:Sündinud 1672	Category:1672年生
Kategooria:Sündinud 1673	Category:1673年生
Kategooria:Sündinud 1674	Category:1674年生
Kategooria:1675	Category:1675年
Kategooria:Surnud 1675	Category:1675年没
Kategooria:Sündinud 1676	Category:1676年生
Kategooria:1677	Category:1677年
Kategooria:Surnud 1677	Category:1677年没
Kategooria:Sündinud 1678	Category:1678年生
Kategooria:1679	Category:1679年
Kategooria:Sündinud 1680	Category:1680年生
Kategooria:1681	Category:1681年
Kategooria:Surnud 1681	Category:1681年没
Kategooria:1682	Category:1682年
Kategooria:1683	Category:1683年
Kategooria:Surnud 1683	Category:1683年没
Kategooria:Sündinud 1684	Category:1684年生
Kategooria:1685	Category:1685年
Kategooria:Surnud 1685	Category:1685年没
Kategooria:Sündinud 1686	Category:1686年生
Kategooria:Sündinud 1687	Category:1687年生
Kategooria:1688	Category:1688年
Kategooria:Surnud 1688	Category:1688年没
Kategooria:Sündinud 1689	Category:1689年生
Kategooria:1690	Category:1690年
Kategooria:Surnud 1690	Category:1690年没
Kategooria:1692	Category:1692年
Kategooria:Surnud 1692	Category:1692年没
Kategooria:Sündinud 1693	Category:1693年生
Kategooria:1694	Category:1694年
Kategooria:1695	Category:1695年
Kategooria:Surnud 1695	Category:1695年没
Kategooria:Sündinud 1696	Category:1696年生
Kategooria:1697	Category:1697年
Kategooria:1698	Category:1698年
Kategooria:Surnud 1698	Category:1698年没
Kategooria:Sündinud 1699	Category:1699年生
Kategooria:1700	Category:1700年
Kategooria:Surnud 1700	Category:1700年没
Kategooria:Sündinud 1701	Category:1701年生
Kategooria:Sündinud 1702	Category:1702年生
Kategooria:1703	Category:1703年
Kategooria:1704	Category:1704年
Kategooria:Surnud 1704	Category:1704年没
Kategooria:Surnud 1705	Category:1705年没
Kategooria:Sündinud 1706	Category:1706年生
Kategooria:1707	Category:1707年
Kategooria:Surnud 1707	Category:1707年没
Kategooria:Sündinud 1708	Category:1708年生
Kategooria:1709	Category:1709年
Kategooria:Sündinud 1709	Category:1709年生
Kategooria:1710	Category:1710年
Kategooria:Surnud 1710	Category:1710年没
Kategooria:Sündinud 1711	Category:1711年生
Kategooria:1712	Category:1712年
Kategooria:Surnud 1712	Category:1712年没
Kategooria:Sündinud 1713	Category:1713年生
Kategooria:1714	Category:1714年
Kategooria:Surnud 1714	Category:1714年没
Mall:N	Template:Non
Kategooria:Sündinud 1715	Category:1715年生
Kategooria:1716	Category:1716年
Kategooria:1717	Category:1717年
Kategooria:Surnud 1717	Category:1717年没
Kategooria:Sündinud 1718	Category:1718年生
Kategooria:1719	Category:1719年
Kategooria:Surnud 1719	Category:1719年没
Kategooria:Sündinud 1720	Category:1720年生
Kategooria:1721	Category:1721年
Kategooria:Surnud 1721	Category:1721年没
Kategooria:Sündinud 1722	Category:1722年生
Kategooria:Vesternid	Category:西部劇映画
Kategooria:1723	Category:1723年
Kategooria:Surnud 1723	Category:1723年没
Kategooria:Sündinud 1724	Category:1724年生
Kategooria:1725	Category:1725年
Kategooria:Surnud 1725	Category:1725年没
Kategooria:India muusika	Category:インドの音楽
Kategooria:Shandong	Category:山東省
Kategooria:Yunnan	Category:雲南省
Kategooria:Zhejiang	Category:浙江省
Kategooria:Qinghai	Category:青海省
Kategooria:Sapporo	Category:札幌市
Mall:Mõõt	Template:Unité
Kategooria:Ōsaka	Category:大阪市
Kategooria:Yokohama	Category:横浜市
Kategooria:Hiroshima	Category:広島市
Kategooria:4	Category:4年
Kategooria:Surnud 4	Category:4年没
Kategooria:6	Category:6年
Kategooria:8	Category:8年
Kategooria:Surnud 8	Category:8年没
Kategooria:Sündinud 9	Category:9年生
Kategooria:Sündinud 12	Category:12年生
Mall:HOL	Template:オランダの地方行政区画
Kategooria:14	Category:14年
Kategooria:18	Category:18年
Kategooria:Surnud 18	Category:18年没
Kategooria:20	Category:20年
Kategooria:Surnud 20	Category:20年没
Kategooria:22	Category:22年
Mall:Tühikud	Template:Spaces
Kategooria:24	Category:24年
Kategooria:25	Category:25年
Kategooria:27	Category:27年
Kategooria:29	Category:29年
Kategooria:Surnud 29	Category:29年没
Kategooria:32	Category:32年
Kategooria:34	Category:34年
Kategooria:Surnud 37	Category:37年没
Kategooria:Sündinud 39	Category:39年生
Kategooria:40	Category:40年
Kategooria:42	Category:42年
Kategooria:45	Category:45年
Kategooria:46	Category:46年
Kategooria:49	Category:49年
Kategooria:52	Category:52年
