افریقہ	アフリカ
زمرہ:انگلستان کے گاؤں	Category:イングランドのヴィレッジ
زمرہ:اطالیہ کے محلات	Category:イタリアの宮殿
زمرہ:تھائی لینڈ کے محلات	Category:タイの宮殿
زمرہ:کرغیز سیاستدان	Category:キルギスの政治家
زمرہ:معاشرتی مسائل	Category:社会問題
زمرہ:1795ء کی وفیات	Category:1795年没
زمرہ:1855ء	Category:1855年
زمرہ:2003ء	Category:2003年
زمرہ:107 ق م	Category:紀元前107年
زمرہ:112 ق م	Category:紀元前112年
زمرہ:114 ق م	Category:紀元前114年
زمرہ:143 ق م	Category:紀元前143年
زمرہ:182 ق م	Category:紀元前182年
زمرہ:فہارست دریا بلحاظ ملک	Category:各国の河川の一覧
زمرہ:تاریخ سے متعلقہ فہرستیں	Category:歴史の一覧
زمرہ:فہرست جامعات و کلیات	Category:大学の一覧
زمرہ:316 ق م	Category:紀元前316年
زمرہ:317 ق م	Category:紀元前317年
زمرہ:فہارست بلحاظ براعظم	Category:大陸別の一覧
زمرہ:325 ق م	Category:紀元前325年
زمرہ:331 ق م	Category:紀元前331年
زمرہ:فہارست بلحاظ آبادی	Category:人口順の一覧
زمرہ:عسکری فہرستیں	Category:軍事の一覧
زمرہ:فہارست ایشیاء	Category:アジア関連の一覧
زمرہ:418 ق م	Category:紀元前418年
زمرہ:آسٹریلیا متعلقہ فہارست	Category:オーストラリア関連一覧
زمرہ:فلم متعلقہ فہارست	Category:映画の一覧
زمرہ:متعلقۂ طرزیات فہارست	Category:技術関連の一覧
زمرہ:ثقافتی فہرستیں	Category:文化の一覧
زمرہ:566 ق م	Category:紀元前566年
زمرہ:589 ق م	Category:紀元前589年
زمرہ:سیاسی فہرستیں	Category:政治関連の一覧
زمرہ:628 ق م	Category:紀元前628年
زمرہ:636 ق م	Category:紀元前636年
زمرہ:645 ق م	Category:紀元前645年
زمرہ:652 ق م	Category:紀元前652年
زمرہ:664 ق م	Category:紀元前664年
زمرہ:معاشرتی فہرستیں	Category:社会関連の一覧
زمرہ:ریاست ہائے متحدہ امریکہ سے متعلقہ فہارست	Category:アメリカ合衆国関連一覧
زمرہ:731 ق م	Category:紀元前731年
زمرہ:886 ق م	Category:紀元前886年
زمرہ:چھٹی صدی کی وفیات	Category:6世紀没
زمرہ:ساتویں صدی کی وفیات	Category:7世紀没
زمرہ:نویں صدی	Category:9世紀
زمرہ:چودہویں صدی کی وفیات	Category:14世紀没
زمرہ:جغرافیہ ویتنام	Category:ベトナムの地理
زمرہ:جغرافیہ ارجنٹائن	Category:アルゼンチンの地理
زمرہ:کرغیزستان کے تغیرات ارض	Category:キルギスの地形
زمرہ:سیاسی جماعت سانچے	Category:政党のテンプレート
زمرہ:ادبی سانچے	Category:文学のテンプレート
زمرہ:باابجدیہ سانچے	Category:IPAテンプレート
زمرہ:فلمی سانچے	Category:映画のテンプレート
زمرہ:چین کی انتظامی تقسیم	Category:中華人民共和国の行政区分
زمرہ:رنگ سانچے	Category:色関連のテンプレート
زمرہ:افغانستان میں تعلیم	Category:アフガニスタンの教育
زمرہ:شخصیات بلحاظ قومیت اور پیشہ	Category:職業別の各国の人物
زمرہ:اسلامی سانچے	Category:イスラム教に関するテンプレート
زمرہ:ہسپانوی شخصیات	Category:スペインの人物
زمرہ:انتسابی سانچے	Category:典拠テンプレート
زمرہ:متحدہ عرب امارات کے سانچے	Category:アラブ首長国連邦関連のテンプレート
زمرہ:یورپی اتحاد سانچے	Category:欧州連合関連のテンプレート
زمرہ:برطانوی سائنسدان	Category:イギリスの学者
زمرہ:برطانیہ سانچے	Category:イギリス関連のテンプレート
زمرہ:سانچہ جات امریکہ	Category:アメリカ合衆国関連のテンプレート
زمرہ:سانچہ جات پاکستان	Category:パキスタンの関連のテンプレート
زمرہ:کوریائی سلطنت	Category:大韓帝国
زمرہ:چینی شاہی خاندان	Category:中国の王朝
زمرہ:ایشیاء کی سابقہ بادشاہتیں	Category:かつて存在したアジアの君主国
زمرہ:مملکت ریوکیو	Category:琉球王国
زمرہ:مغول سلطنت	Category:モンゴル帝国
زمرہ:سلطنت مغلیہ	Category:ムガル帝国
زمرہ:کشان سلطنت	Category:クシャーナ朝
زمرہ:قدیم روم	Category:古代ローマ
زمرہ:پاپائی ریاستیں	Category:教皇領
زمرہ:مقدونیہ	Category:マケドニア
زمرہ:مملکت ساردینیا	Category:サルデーニャ王国
زمرہ:مقدس رومی سلطنت	Category:神聖ローマ帝国
زمرہ:اطالوی جزیرہ نما کے سابقہ ممالک	Category:イタリアに存在した国
زمرہ:سوفٹویئر سانچہ جات	Category:ソフトウェア関連のテンプレート
زمرہ:2014 فیفا عالمی کپ کے سانچے	Category:FIFAワールドカップのテンプレート
زمرہ:عراقی سیاستدان	Category:イラクの政治家
زمرہ:سانچہ جات برائے نوبل انعام	Category:ノーベル賞のテンプレート
زمرہ:ارضیاتی سانچے	Category:地球科学関連のテンプレート
زمرہ:ہسپانوی مصور	Category:スペインの画家
زمرہ:تاریخ شمار سانچے	Category:日付計算テンプレート
زمرہ:1971ء	Category:1971年
زمرہ:کثیرلسانی معاونت سانچے	Category:多言語支援テンプレート
زمرہ:116 ق م	Category:紀元前116年
زمرہ:129 ق م	Category:紀元前129年
زمرہ:134 ق م	Category:紀元前134年
زمرہ:کھیلوں کے سانچے بلحاظ کھیل	Category:競技別のスポーツ関連のテンプレート
زمرہ:مملکت متحدہ کی سیاست اور حکومت کے سانچے	Category:イギリスの政治関連のテンプレート
زمرہ:262 ق م	Category:紀元前262年
زمرہ:سیاست اور حکومت سانچے بلحاظ ملک	Category:各国の政治関連のテンプレート
زمرہ:سریع حذف شدگی سانچہ جات	Category:即時削除テンプレート
زمرہ:عسکری سانچے	Category:軍事関連のテンプレート
زمرہ:556 ق م	Category:紀元前556年
زمرہ:585 ق م	Category:紀元前585年
زمرہ:598 ق م	Category:紀元前598年
زمرہ:605 ق م	Category:紀元前605年
زمرہ:632 ق م	Category:紀元前632年
زمرہ:660 ق م	Category:紀元前660年
زمرہ:680 ق م	Category:紀元前680年
زمرہ:فلکیات سانچے	Category:天文学関連のテンプレート
زمرہ:816 ق م	Category:紀元前816年
زمرہ:878 ق م	Category:紀元前878年
زمرہ:تیرہویں صدی کی وفیات	Category:13世紀没
زمرہ:ثقافتی سانچے	Category:文化関連のテンプレート
زمرہ:ماد	Category:メディア王国
زمرہ:ویتنام سانچے	Category:ベトナム関連のテンプレート
زمرہ:سلطنت عثمانیہ	Category:オスマン帝国
زمرہ:سلطنت ہسپانیہ	Category:スペイン帝国
زمرہ:طبیعیاتی سانچے	Category:物理学関連のテンプレート
زمرہ:یوگو سلاویہ	Category:ユーゴスラビア
زمرہ:کیویائی روس	Category:キエフ・ルーシ
زمرہ:ملائیشیا سانچے	Category:マレーシア関連のテンプレート
زمرہ:تعلیمی سانچے	Category:教育関連のテンプレート
زمرہ:ویکیپیڈیا معاونت سانچے	Category:ヘルプ用テンプレート
زمرہ:سانچہ جات مصر	Category:エジプト関連のテンプレート
زمرہ:پیچیدہ سانچے	Category:複雑なテンプレート
زمرہ:ویکیپیڈیا افادہ سانچے	Category:ユーティリティテンプレート
سانچہ:ISO 639 name	Template:ISO639言語名
زمرہ:منطقات وقت سانچے	Category:標準時のテンプレート
زمرہ:بین الاقوامی تنظیموں کے سانچے	Category:国際機関のテンプレート
زمرہ:نقل و حمل کے سانچے	Category:交通関連のテンプレート
زمرہ:نیوزی لینڈ کی جامعات	Category:ニュージーランドの大学
زمرہ:573 ق م	Category:紀元前573年
زمرہ:624 ق م	Category:紀元前624年
زمرہ:آتش فشاں دہانے	Category:カルデラ
زمرہ:698 ق م	Category:紀元前698年
زمرہ:مصنفین قصص	Category:著作家
زمرہ:اقتصادی کتابیں	Category:経済書
زمرہ:کرہء ہوائیات	Category:大気科学
زمرہ:دارالکتب و اطلاعاتی علم	Category:図書館情報学
زمرہ:کرۂ ہوا	Category:大気
زمرہ:حفریات	Category:古生物学
زمرہ:2000ء کی دہائی میں قائم ہونے والی مرافقات	Category:2000年代設立の企業
زمرہ:1980ء کی دہائی میں قائم ہونے والی مرافقات	Category:1980年代設立の企業
سانچہ:User de-4	Template:User de-4
زمرہ:کتب بلحاظ موضوع	Category:テーマ別の書物
زمرہ:تھائی لینڈ کے نامکمل مضامین	Category:タイ王国関連のスタブ項目
زمرہ:نبیل القاب	Category:爵位
زمرہ:چین کی مرافقات	Category:中国の企業
زمرہ:ویلز	Category:ウェールズ
زمرہ:ریاستہائے متحدہ امریکہ کی مرافقات	Category:アメリカ合衆国の企業
زمرہ:1963ء میں قائم ہونے والی مرافقات	Category:1963年設立の企業
زمرہ:2005ء میں قائم شدہ کمپنیاں	Category:2005年設立の企業
زمرہ:2004ء میں قائم ہونے والی مرافقات	Category:2004年設立の企業
زمرہ:فٹ بال ایسوسی ایشن بلحاظ یورپ	Category:ヨーロッパのサッカー
زمرہ:مرافقات بلحاظ صنعت	Category:産業別の企業
زمرہ:ریاستہائے متحدہ امریکہ میں باسکٹ بال	Category:アメリカ合衆国のバスケットボール
فہرست متعلقہ مضامین نائجر	ニジェール関係記事の一覧
زمرہ:پراسرار حیاتیات	Category:未確認動物
زمرہ:عبرانی مستعار الفاظ	Category:ヘブライ語からの借用語
زمرہ:یونانی الفاظ اور جملے	Category:ギリシア語の語句
زمرہ:الفاظ اور جملے بلحاظ زبان	Category:言語別の語句
زمرہ:افریقہ کی جھیلیں	Category:アフリカの湖
زمرہ:لاطینی الفاظ اور جملے	Category:ラテン語の語句
زمرہ:1988ء میں قائم ہونے والی مرافقات	Category:1988年設立の企業
سانچہ:عنوان	Template:PAGENAMEBASE
زمرہ:آفات بلحاظ براعظم	Category:大陸別の災害
زمرہ:چین میں قدرتی آفات	Category:中国の自然災害
زمرہ:ایشیاء میں آفات	Category:アジアの災害
زمرہ:آسٹریلیا میں آفات	Category:オーストラリアの災害
زمرہ:آیزو 3166	Category:ISO 3166
زمرہ:حادثات انسانی ایجادات	Category:人的災害
زمرہ:سابقہ موجودات	Category:現存しない事物
زمرہ:یورپ کی سابقہ بادشاہتیں	Category:かつて存在したヨーロッパの君主国
زمرہ:مقدونیہ (قدیم مملکت)	Category:マケドニア王国
زمرہ:چیکوسلوواکیہ	Category:チェコスロバキア
زمرہ:استنبول کی شخصیات	Category:イスタンブル出身の人物
زمرہ:قاہرہ کی شخصیات	Category:カイロ出身の人物
زمرہ:حیدرآباد، بھارت کی شخصیات	Category:ハイデラバード出身の人物
زمرہ:لاپتہ افراد	Category:消息不明となった人物
سانچہ:Coord missing	Template:Coord missing
زمرہ:1010ء	Category:1010年
زمرہ:نو مسلمین	Category:イスラム教への改宗者
سانچہ:Country data Wales	Template:Country data Wales
زمرہ:ڈالر	Category:ドル
سانچہ:Country data Seychelles	Template:Country data Seychelles
زمرہ:1620ء کی دہائی کی وفیات	Category:1620年代没
زمرہ:1880ء کی دہائی کی وفیات	Category:1880年代没
زمرہ:1950ء کی دہائی کی وفیات	Category:1950年代没
زمرہ:330ء کی دہائی کی وفیات	Category:330年代没
زمرہ:650ء کی دہائی کی وفیات	Category:650年代没
زمرہ:850ء کی وفیات	Category:850年代没
زمرہ:انگریز نژاد شخصیات	Category:イングランド系人
زمرہ:اوقیانوسیہ کی معیشت	Category:オセアニアの経済
زمرہ:وفیات بلحاظ سال	Category:没年
زمرہ:شخصیات بلحاظ نسلیت	Category:民族別の人物
زمرہ:شخصیات بلحاظ براعظم	Category:大陸別の人物
زمرہ:پیدائشیں بلحاظ سال	Category:生年
سانچہ:Country data Papua New Guinea	Template:Country data Papua New Guinea
زمرہ:شخصیات بلحاظ دور	Category:時代別の人物
زمرہ:شخصیات بلحاظ مذہب	Category:宗教別の宗教関係者
قفقازی نسل	コーカソイド
زمرہ:ضد مادہ	Category:反物質
زمرہ:طفیلیات	Category:寄生虫学
زمرہ:علم ادراک	Category:認知科学
زمرہ:گھانا کے صدور	Category:ガーナの大統領
زمرہ:ترک صدور	Category:トルコの大統領
زمرہ:فرانسیسی صدور	Category:フランスの大統領
زمرہ:امریکی صدور	Category:アメリカ合衆国の大統領
زمرہ:ایرانی صدور	Category:イランの大統領
زمرہ:تاریخ بلحاظ براعظم	Category:大陸別の歴史
زمرہ:تاریخ یہودیت	Category:ユダヤ史
زمرہ:طبیعیات کی تاریخ	Category:物理学史
زمرہ:تاریخ یورپ	Category:ヨーロッパ史
زمرہ:تاریخ ادب	Category:文学史
زمرہ:تاریخ اسلام	Category:イスラム世界史
زمرہ:تاريخ علم	Category:科学史
زمرہ:1980ء کی دہائی کی اقتصادی تاریخ	Category:1980年代の経済史
زمرہ:تاریخ ایشیاء	Category:アジア史
زمرہ:اعصابیات	Category:神経学
زمرہ:کیریباتی	Category:キリバス
زمرہ:سان مارینو	Category:サンマリノ
زمرہ:اردن	Category:ヨルダン
زمرہ:سامووا	Category:サモア
زمرہ:کوسٹاریکا	Category:コスタリカ
زمرہ:ٹرینیڈاڈ و ٹوباگو	Category:トリニダード・トバゴ
زمرہ:سرینام	Category:スリナム
زمرہ:نکاراگوا	Category:ニカラグア
زمرہ:بوسنیا و ہرزیگووینا	Category:ボスニア・ヘルツェゴビナ
زمرہ:ناروے	Category:ノルウェー
زمرہ:بارباڈوس	Category:バルバドス
زمرہ:پاناما	Category:パナマ
زمرہ:پیراگوئے	Category:パラグアイ
زمرہ:فجی	Category:フィジー
زمرہ:پاپوا نیو گنی	Category:パプアニューギニア
زمرہ:جزائر مارشل	Category:マーシャル諸島共和国
زمرہ:لیختینستائن	Category:リヒテンシュタイン
زمرہ:جزائر سلیمان	Category:ソロモン諸島
زمرہ:شام کے شہر	Category:シリアの都市
زمرہ:ہونڈوراس	Category:ホンジュラス
زمرہ:یوراگوئے	Category:ウルグアイ
زمرہ:انڈورا	Category:アンドラ
زمرہ:سینٹ وینسینٹ و گریناڈائنز	Category:セントビンセント・グレナディーン
زمرہ:سربیا	Category:セルビア
زمرہ:بیلیز	Category:ベリーズ
زمرہ:ایل سیلواڈور	Category:エルサルバドル
زمرہ:ہیٹی	Category:ハイチ
زمرہ:ایکواڈور	Category:エクアドル
زمرہ:یمن	Category:イエメン
زمرہ:پیرو	Category:ペルー
زمرہ:ممالک بلحاظ براعظم	Category:大陸別の国
زمرہ:ڈومینیکا	Category:ドミニカ国
زمرہ:بولیویا	Category:ボリビア
زمرہ:البانیا	Category:アルバニア
زمرہ:روڈیسیا	Category:ローデシア
زمرہ:کیریبین ممالک	Category:カリブの国
زمرہ:اوقیانوسی ممالک	Category:オセアニアの国
زمرہ:موناکو	Category:モナコ
زمرہ:2013ء میں تھائی لینڈ	Category:2013年のタイ王国
زمرہ:2009ء میں تھائی لینڈ	Category:2009年のタイ王国
زمرہ:2007ء میں تھائی لینڈ	Category:2007年のタイ王国
زمرہ:تھائی لینڈ اولمپکس میں	Category:オリンピックタイ選手団
زمرہ:آلیچرخہ جماعت بندی	Category:オートバイの形態
زمرہ:اقدار	Category:伝統
زمرہ:اقسام شمارندہ	Category:コンピュータの形態
زمرہ:اصناف فن	Category:美術のジャンル
زمرہ:شمال امریکی ممالک	Category:北アメリカの国
زمرہ:فلسفیانہ منطق	Category:哲学的論理学
زمرہ:طبیعیاتی مظہر	Category:物理現象
زمرہ:لاطینی ادب	Category:ラテン文学
سانچہ:Country data Byelorussian SSR	Template:Country data Byelorussian SSR
زمرہ:مال مویشی	Category:畜産
زمرہ:مچھلی	Category:魚類
زمرہ:انفرادیت	Category:個人主義
زمرہ:غیر حل شدہ ریاضیاتی مسائل	Category:数学のオープンプロブレム
زمرہ:ریاضیاتی مسائل	Category:数学の問題
زمرہ:بیجنگ	Category:北京
زمرہ:پالیرمو	Category:パレルモ
زمرہ:علم الاساطیر	Category:神話
زمرہ:مسیحی الٰہیات	Category:キリスト教神学
زمرہ:ازبکستان کی زبانیں	Category:ウズベキスタンの言語
زمرہ:کیمرون کی زبانیں	Category:カメルーンの言語
زمرہ:موزمبیق کی زبانیں	Category:モザンビークの言語
زمرہ:نائجر کی زبانیں	Category:ニジェールの言語
زمرہ:نفطی حصائل	Category:石油製品
زمرہ:سبزیاں	Category:野菜
زمرہ:لبنیات	Category:乳製品
زمرہ:پھل	Category:果物
زمرہ:بلغاریہ کی زبانیں	Category:ブルガリアの言語
زمرہ:بینن کی زبانیں	Category:ベナンの言語
زمرہ:ترکمانستان کی زبانیں	Category:トルクメニスタンの言語
زمرہ:اتحاد القمری کی زبانیں	Category:コモロの言語
زمرہ:جبوتی کی زبانیں	Category:ジブチの言語
زمرہ:ساؤ ٹومے و پرنسپے کی زبانیں	Category:サントメ・プリンシペの言語
زمرہ:جنوبی سلافی زبانیں	Category:南スラヴ語群
زمرہ:سرینام کی زبانیں	Category:スリナムの言語
زمرہ:گیمبیا کی زبانیں	Category:ガンビアの言語
زمرہ:جمہوریہ گنی کی زبانیں	Category:ギニアの言語
زمرہ:گنی بساؤ کی زبانیں	Category:ギニアビサウの言語
زمرہ:کرغیزستان کی زبانیں	Category:キルギスの言語
زمرہ:لاؤس کی زبانیں	Category:ラオスの言語
زمرہ:جڑواں	Category:双子
زمرہ:ہیٹی کی زبانیں	Category:ハイチの言語
زمرہ:زبان عمومی ثقافت	Category:流行語
زمرہ:قازق زبان	Category:カザフ語
زمرہ:بولیاں	Category:方言
زمرہ:بولیاں بلحاظ زبان	Category:言語別の方言
زمرہ:مسلم مؤرخین	Category:イスラム世界の歴史家
زمرہ:2025ء	Category:2025年
زمرہ:2021ء	Category:2021年
زمرہ:2024ء	Category:2024年
زمرہ:2022ء	Category:2022年
زمرہ:2020ء	Category:2020年
زمرہ:مالیاتی ادارے	Category:金融機関
زمرہ:قومی ادارے	Category:国立施設・組織
زمرہ:لغات	Category:辞典
زمرہ:برما کی سیاسی جماعتیں	Category:ミャンマーの政党
زمرہ:ریاست ہائے متحدہ امریکہ کی سیاسی جماعتیں	Category:アメリカ合衆国の政党
زمرہ:امراضیات	Category:病理学
زمرہ:سیاسی جماعتیں	Category:政党
زمرہ:برطانیہ کی سیاسی جماعتیں	Category:イギリスの政党
زمرہ:نباتاتیہ	Category:植物相
زمرہ:چین کے محلات	Category:中国の宮殿
زمرہ:براعظمی سانچے	Category:大陸関連のテンプレート
زمرہ:مسیح	Category:イエス・キリスト
زمرہ:علوم سلوکیہ	Category:行動科学
زمرہ:حرکیات	Category:動力学
زمرہ:ہوائی توانائی	Category:風力発電
زمرہ:سیالی حرکیات	Category:流体力学
زمرہ:اصول	Category:原理
زمرہ:علم حیوانی سلوک	Category:動物行動学
زمرہ:عہد نامہ جدید	Category:新約聖書
زمرہ:عہد قدیم	Category:旧約聖書
زمرہ:اخلاقی اصول	Category:倫理原則
زمرہ:عجائب خانہ	Category:博物館
زمرہ:سنگاپور کے عجائب گھر	Category:シンガポールの博物館
زمرہ:تھائی لینڈ کے عجائب گھر	Category:タイの博物館
زمرہ:سویڈن کے عجائب گھر	Category:スウェーデンの博物館
زمرہ:فرانس کے عجائب گھر	Category:フランスの博物館
زمرہ:ریاستہائے متحدہ امریکہ کے عجائب گھر	Category:アメリカ合衆国の博物館
زمرہ:لکیری الجبرا	Category:線型代数学
زمرہ:محفوظ مقامات	Category:保護区
زمرہ:دوال	Category:関数
زمرہ:نویاتی طبیعیات	Category:原子核物理学
زمرہ:ذراتی طبیعیات	Category:素粒子物理学
زمرہ:فلکی طبیعیات	Category:天体物理学
زمرہ:کثیف مادہ طبیعیات	Category:物性物理学
زمرہ:انگلستان قومی فٹ بال ٹیم	Category:サッカーイングランド代表
زمرہ:قومی فٹ بال ٹیمیں	Category:サッカーのナショナルチーム
زمرہ:آفات	Category:災害
زمرہ:چوبو علاقہ	Category:中部地方
زمرہ:کانتو علاقہ	Category:関東地方
زمرہ:مغربی ریاستہائے متحدہ امریکہ	Category:アメリカ合衆国西部
زمرہ:ایسان	Category:イーサーン
زمرہ:جنوبی ریاستہائے متحدہ امریکہ	Category:アメリカ合衆国南部
زمرہ:مترجمین قرآن	Category:クルアーン翻訳者
زمرہ:برازیل میں بنائی گئی فلمیں	Category:ブラジルを舞台とした映画作品
زمرہ:امریکی معاشرہ	Category:アメリカ合衆国の社会
زمرہ:کیریبین میں بنائی گئی فلمیں	Category:カリブ海を舞台とした映画作品
زمرہ:1915ء کی فلمیں	Category:1915年の映画
زمرہ:1922ء کی فلمیں	Category:1922年の映画
زمرہ:1927ء کی فلمیں	Category:1927年の映画
زمرہ:1923ء کی فلمیں	Category:1923年の映画
زمرہ:1946ء کی فلمیں	Category:1946年の映画
زمرہ:انگریزی معاشرہ	Category:イングランドの社会
زمرہ:1966ء کی فلمیں	Category:1966年の映画
زمرہ:1953ء کی فلمیں	Category:1953年の映画
زمرہ:1954ء کی فلمیں	Category:1954年の映画
زمرہ:1960ء کی فلمیں	Category:1960年の映画
زمرہ:1964ء کی فلمیں	Category:1964年の映画
زمرہ:1963ء کی فلمیں	Category:1963年の映画
زمرہ:1962ء کی فلمیں	Category:1962年の映画
زمرہ:1965ء کی فلمیں	Category:1965年の映画
زمرہ:1957ء کی فلمیں	Category:1957年の映画
زمرہ:برازیلی معاشرہ	Category:ブラジルの社会
زمرہ:برطانوی معاشرہ	Category:イギリスの社会
زمرہ:1974ء کی فلمیں	Category:1974年の映画
زمرہ:1973ء کی فلمیں	Category:1973年の映画
زمرہ:1976ء کی فلمیں	Category:1976年の映画
زمرہ:سعودی معاشرہ	Category:サウジアラビアの社会
زمرہ:1971ء کی فلمیں	Category:1971年の映画
زمرہ:1968ء کی فلمیں	Category:1968年の映画
زمرہ:1980ء کی فلمیں	Category:1980年の映画
زمرہ:2003ء کی فلمیں	Category:2003年の映画
زمرہ:1991ء کی فلمیں	Category:1991年の映画
زمرہ:1999ء کی فلمیں	Category:1999年の映画
زمرہ:1996ء کی فلمیں	Category:1996年の映画
زمرہ:1994ء کی فلمیں	Category:1994年の映画
زمرہ:1989ء کی فلمیں	Category:1989年の映画
زمرہ:عراقی معاشرہ	Category:イラクの社会
زمرہ:1997ء کی فلمیں	Category:1997年の映画
زمرہ:2002ء کی فلمیں	Category:2002年の映画
زمرہ:2004ء کی فلمیں	Category:2004年の映画
زمرہ:1995ء کی فلمیں	Category:1995年の映画
زمرہ:فلسطینی معاشرہ	Category:パレスチナの社会
زمرہ:2005ء کی فلمیں	Category:2005年の映画
زمرہ:2007ء کی فلمیں	Category:2007年の映画
زمرہ:2010ء کی فلمیں	Category:2010年の映画
زمرہ:2011ء کی فلمیں	Category:2011年の映画
زمرہ:2009ء کی فلمیں	Category:2009年の映画
زمرہ:کینیڈا کا معاشرہ	Category:カナダの社会
زمرہ:ولندیزی معاشرہ	Category:オランダの社会
زمرہ:تصاویر دائرہ عام	Category:パブリックドメイン画像
زمرہ:خلائی پرواز	Category:宇宙飛行
زمرہ:یونان کی زبانیں	Category:ギリシャの言語
زمرہ:جاپانی زبان	Category:日本語
زمرہ:تشکیلی زبانیں	Category:形式言語
زمرہ:تاریخی لسانیات	Category:歴史言語学
زمرہ:کوئری زبانیں	Category:問い合わせ言語
زمرہ:لاطینی زبان	Category:ラテン語
زمرہ:عربی	Category:アラビア語
زمرہ:جرمن زبان	Category:ドイツ語
زمرہ:پرتگیزی زبان	Category:ポルトガル語
زمرہ:یورپی زبانیں	Category:ヨーロッパの言語
زمرہ:افریقی زبانیں	Category:アフリカの言語
زمرہ:گوئٹے مالا کی زبانیں	Category:グアテマラの言語
زمرہ:نکاراگوا کی زبانیں	Category:ニカラグアの言語
زمرہ:چلی کی زبانیں	Category:チリの言語
زمرہ:سعودی عرب کی زبانیں	Category:サウジアラビアの言語
زمرہ:مشرقی تیمور کی زبانیں	Category:東ティモールの言語
زمرہ:شام کی زبانیں	Category:シリアの言語
زمرہ:ترکی کی زبانیں	Category:トルコの言語
زمرہ:بوٹسوانا کی زبانیں	Category:ボツワナの言語
زمرہ:یوکرین کی زبانیں	Category:ウクライナの言語
زمرہ:فن لینڈ کی زبانیں	Category:フィンランドの言語
زمرہ:ملائشیا کی زبانیں	Category:マレーシアの言語
زمرہ:فرانس کی زبانیں	Category:フランスの言語
زمرہ:روس کی زبانیں	Category:ロシアの言語
زمرہ:برونائی کی زبانیں	Category:ブルネイの言語
زمرہ:پاکستان کی زبانیں	Category:パキスタンの言語
زمرہ:بھوٹان کی زبانیں	Category:ブータンの言語
زمرہ:سلووینیا کی زبانیں	Category:スロベニアの言語
زمرہ:سلوواکیہ کی زبانیں	Category:スロバキアの言語
زمرہ:بھارت کی زبانیں	Category:インドの言語
زمرہ:لٹویا کی زبانیں	Category:ラトビアの言語
زمرہ:ریاستہائے متحدہ امریکہ کی زبانیں	Category:アメリカ合衆国の言語
زمرہ:آذربائیجان کی زبانیں	Category:アゼルバイジャンの言語
زمرہ:لکسمبرگ کی زبانیں	Category:ルクセンブルクの言語
زمرہ:ہونڈوراس کی زبانیں	Category:ホンジュラスの言語
زمرہ:بیلیز کی زبانیں	Category:ベリーズの言語
زمرہ:پیرو کی زبانیں	Category:ペルーの言語
زمرہ:یمن کی زبانیں	Category:イエメンの言語
زمرہ:سربیا کی زبانیں	Category:セルビアの言語
زمرہ:میکسیکو کی زبانیں	Category:メキシコの言語
زمرہ:اسرائیل کی زبانیں	Category:イスラエルの言語
زمرہ:مجارستان کی زبانیں	Category:ハンガリーの言語
زمرہ:استوائی گنی کی زبانیں	Category:赤道ギニアの言語
زمرہ:یوراگوئے کی زبانیں	Category:ウルグアイの言語
زمرہ:ایران کی زبانیں	Category:イランの言語
زمرہ:انڈونیشیا کی زبانیں	Category:インドネシアの言語
زمرہ:روسی زبان	Category:ロシア語
زمرہ:عمان کی زبانیں	Category:オマーンの言語
زمرہ:رومانیہ کی زبانیں	Category:ルーマニアの言語
زمرہ:قبرص کی زبانیں	Category:キプロスの言語
زمرہ:کروشیا کی زبانیں	Category:クロアチアの言語
زمرہ:کولمبیا کی زبانیں	Category:コロンビアの言語
زمرہ:بولیویا کی زبانیں	Category:ボリビアの言語
زمرہ:ایکواڈور کی زبانیں	Category:エクアドルの言語
زمرہ:مراکش کی زبانیں	Category:モロッコの言語
زمرہ:کینیڈا کی زبانیں	Category:カナダの言語
زمرہ:چیک جمہوریہ کی زبانیں	Category:チェコの言語
زمرہ:طبیعی منظر	Category:景観
زمرہ:ریاستہائے متحدہ امریکہ کے علاقے	Category:アメリカ合衆国の地域
زمرہ:جنوب مشرقی ایشیاء کی زبانیں	Category:東南アジアの言語
زمرہ:چین کے خطے	Category:中国の地域
زمرہ:آرکٹک کے خطے	Category:北極の地域
زمرہ:افریقہ کے خطے	Category:アフリカの地域
زمرہ:یورپ کے خطے	Category:ヨーロッパの地域
زمرہ:فلپائن کے علاقے	Category:フィリピンの地方
زمرہ:ایشیاء کے خطے	Category:アジアの地域
زمرہ:لاطینی امریکہ کے نسلی گروہ	Category:ラテンアメリカの民族
زمرہ:خطے بلحاظ براعظم	Category:大陸別の地域
زمرہ:قدیم جغرافیہ	Category:古地形
زمرہ:گروہات کیمیائی عناصر	Category:元素群
زمرہ:سیاسی جغرافیہ	Category:政治地理学
زمرہ:جغرافیہ شمالی امریکہ	Category:北アメリカの地理
زمرہ:جغرافیہ اوقیانوسیہ	Category:オセアニアの地理
زمرہ:جغرافیہ بلحاظ براعظم	Category:大陸別の地理
زمرہ:جغرافیہ انٹارکٹیکا	Category:南極の地理
زمرہ:آب و ہوا	Category:気候
زمرہ:جغرافیہ ایشیاء	Category:アジアの地理
زمرہ:جنوبی امریکہ کے پہاڑ	Category:南アメリカの山
زمرہ:پہاڑ بلحاظ براعظم	Category:大陸別の山
زمرہ:یونان کے پہاڑ	Category:ギリシャの山
زمرہ:پاپوا نیو گنی کے پہاڑ	Category:パプアニューギニアの山
