აფრიკა	アフリカ
თარგი:User ru-3	Template:User ru-3
თარგი:Lang-yo	Template:Lang-yo
თარგი:ოქროს მედალი	Template:MedalGold
თარგი:Float right	Template:Float right
თარგი:მსოფლიო მემკვიდრეობის ძეგლები ეთიოპიაში	Template:エチオピアの世界遺産
თარგი:User nl-3	Template:User nl-3
თარგი:ესკიზი-ბიოგრაფია	Template:People-stub
ვიკიპედია:ვიკიპროექტი:ევროვიზია	プロジェクト:ユーロビジョン
თარგი:Shades of color	Template:Shades of color
თარგი:ბრინჯაოს მედალი	Template:MedalBronze
ვიკიპედია:ვიკიპედიის დღე	Wikipedia:ウィキペディアの日
თარგი:სერია A სეზონები	Template:セリエA (サッカー) シーズン
თარგი:ვერცხლის მედალი	Template:MedalSilver
თარგი:თურქეთის პრეზიდენტები	Template:トルコ共和国大統領
თარგი:ნიშანი	Template:記号文字
თარგი:სსრკ-ის წლის საუკეთესო ფეხბურთელი	Template:ソビエト連邦年間最優秀サッカー選手賞
თარგი:IPA-ru	Template:IPA-ru
თარგი:ინფოდაფა ტფლ	Template:Infobox TfL line
თარგი:User hu-2	Template:User hu-2
თარგი:Subscription required	Template:Subscription required
თარგი:Nat fs g player	Template:サッカーナショナルチーム選手一覧 ゴール
თარგი:ფიფა-ს პრეზიდენტები	Template:FIFA歴代会長
თარგი:აზიის ქვეყნების ადმინისტრაციული დაყოფა	Template:アジアの第一級行政区画
თარგი:თურქეთის პრემიერ-მინისტრები	Template:トルコ共和国首相
BE (Beady Eye-ს ალბომი)	ビー (ビーディ・アイのアルバム)
თარგი:სუდანის შტატები	Template:スーダンの州
თარგი:პოზრუკა~	Template:Location map~
თარგი:The Smashing Pumpkins	Template:スマッシング・パンプキンズ
თარგი:არსებობს ვექტორული ვერსია	Template:SVG版利用可能
თარგი:Spice Girls	Template:スパイス・ガールズ
თარგი:მსოფლიო საეკლესიო კრებები	Template:公会議
თარგი:პედრო ალმოდოვარი	Template:ペドロ・アルモドヴァル監督作品
თარგი:Wayback	Template:Wayback
თარგი:ვენესუელის შტატები	Template:ベネズエラの地方制度
ვიკიპედია:მასწავლებელი (დასრულება)	Wikipedia:チュートリアル まとめ
თარგი:ინფოდაფა არქიტექტორი	Template:Infobox 建築家
ვიკიპედია:მასწავლებელი (რეგისტრაცია)	Wikipedia:チュートリアル アカウント登録
თარგი:USA 48 Stars	Template:USA1912
თარგი:Normalwraplink	Template:Normalwraplink
თარგი:პოზრუკა კანადა ნიუფაუნდლენდი	Template:Location map Canada Newfoundland
თარგი:საბჭოთა სუპერთასის მფლობელები	Template:USSRカップ優勝チーム
თარგი:რუსეთის ისტორია	Template:ロシアの歴史
თარგი:ალჟირის პროვინციები	Template:アルジェリアの地方行政区画
თარგი:შრი-ლანკის პრეზიდენტები	Template:スリランカ大統領
თარგი:მანჩესტერ სიტის შემადგენლობა	Template:マンチェスター・シティFCのメンバー
თარგი:ინფოდაფა ფიბა-ს ტურნირი	Template:Infobox FIBA tourney
თარგი:მედალი ქვეყანა	Template:MedalCountry
თვითშეფასება	自尊心
თარგი:ვერცხლის გოლი	Template:Silver goal
თარგი:Internet Archive film	Template:Internet Archive film
თარგი:ეთიოპიის პრეზიდენტები	Template:エチオピア大統領
თარგი:Discogs შემსრულებელი	Template:Discogs artist
თარგი:The Smiths	Template:ザ・スミス
თარგი:ინფოდაფა სპორტული ლიგა	Template:スポーツリーグ
თარგი:ფორმულა ერთის მსოფლიო ჩემპიონები	Template:F1ドライバーズチャンピオン
თარგი:უფრო დიდი	Template:Larger
თარგი:ინფოდაფა საფოსტო მარკა	Template:Infobox postage stamp
თარგი:სსრკ-ის შემადგენლობა 1982 წლის მსოფლიო საფეხბურთო ჩემპიონატზე	Template:1982 FIFAワールドカップソビエト連邦代表
თარგი:ინფოდაფა ფაილის ფორმატი	Template:Infobox file format
თარგი:ლუკინო ვისკონტი	Template:ルキノ・ヴィスコンティ監督作品
თარგი:ინდონეზიის პრეზიდენტები	Template:インドネシアの大統領
თარგი:ჰერაკლეს თორმეტი გმირობა	Template:ヘーラクレースの12の難行
თარგი:უოლტ დისნეის ფილმები	Template:ディズニーの長編アニメ映画
კოლუმბიის შეიარაღებული ძალები	コロンビアの軍事
თარგი:Lang-kbd	Template:Lang-kbd
ვიკიპედია:ბოტები/რეგისტრირებული	Wikipedia:Bot/ステータス
თარგი:ინფოდაფა ინდოეთი ოლიმპიადაზე	Template:Infobox オリンピックインド選手団
თარგი:პორტუგალიის პრეზიდენტები	Template:ポルトガル大統領
თარგი:არა1	Template:No
თარგი:მალავის პრეზიდენტები	Template:マラウイの大統領
თარგი:შვიდი მწვერვალი	Template:七大陸最高峰
თარგი:მადაგასკარის პრეზიდენტები	Template:マダガスカル大統領
თარგი:ინფოდაფა მორაგბე	Template:Infobox Rugby biography
თარგი:ეგვიპტის პოლიტიკა	Template:エジプトの政治
თარგი:სერია A	Template:レガ・カルチョ
თარგი:ძველი ეგვიპტის დინასტიები	Template:古代エジプトの王朝
თარგი:მუსიკოსები	Template:Music-bio-stub
თარგი:ბენინის დეპარტამენტები	Template:ベナンの県
თარგი:მსოფლიო საფეხბურთო ჩემპიონატის ბომბარდირები	Template:FIFAワールドカップ得点王
თარგი:კანის კინოფესტივალი	Template:カンヌ国際映画祭
თარგი:Backstreet Boys	Template:バックストリート・ボーイズ
თარგი:აშშ-ის ადმინისტრაციული ერთეულების ისტორია	Template:アメリカ合衆国の州別の歴史
თარგი:Lang-ht	Template:Lang-ht
თარგი:ბრაზილიის ნაკრები ოლიმპიურ თამაშებზე 2000	Template:シドニーオリンピック サッカーブラジル代表
თარგი:MTV შემსრულებელი	Template:MTV artist
თარგი:ANZ	Template:ANZ
თარგი:არაგონის მეფეები	Template:アラゴン王
თარგი:ვიკიპედია დღეს	Template:About Wikipedia
თარგი:ჰბ ტომი და ჯერი	Template:トムとジェリーの短編作品 (ハンナ＝バーベラ期)
თარგი:ინფოდაფა სარბოლო ტრასა	Template:Infobox motorsport venue
ვიკიპედია:ვიკიპროექტი:ავსტრალია	プロジェクト:オーストラリア
ვიკიპედია:ვიკიპროექტი:ინდოეთი	プロジェクト:南アジア
თარგი:Flagathlete	Template:Flagathlete
თარგი:რკინიგზის მგზავრების დაფა	Template:Rail pass box
პორტალი:მითოლოგია	Portal:神話伝承
თარგი:Location mark~	Template:Location mark~
თარგი:პოზრუკა+	Template:Location map+
თარგი:ინფოდაფა რუკა	Template:Infobox map
თარგი:DEU-1871	Template:DEU1871
თარგი:Ru7	Template:Ru7
ავღანეთის შეიარაღებული ძალები	アフガニスタンの軍事
თარგი:ინფოდაფა სამეფო დინასტია	Template:Royal house
ვიკიპედია:თარგები/მომხმარებლები/ზოდიაქო	Wikipedia:ユーザーボックス/生年月日関連
თარგი:Hex3	Template:Hex3
თარგი:კარიბის ზღვის მეკობრეები	Template:パイレーツ・オブ・カリビアン
თარგი:აშშ-ის საპრეზიდენტო არჩევნები	Template:アメリカ合衆国大統領選挙
ვიკიპედია:თარგები/მომხმარებლები/კომპიუტერი	Wikipedia:ユーザーボックス/コンピュータ関連
თარგი:Maroon 5	Template:マルーン5
ბოსტონის მარათონის აფეთქებები	ボストンマラソン爆弾テロ事件
თარგი:ოქროს ბუცი	Template:ヨーロッパ・ゴールデンシュー
მომხმარებელი:Box/სკაიპი	Template:User Skype
თარგი:ბიზანტიის იმპერატორები	Template:東ローマ皇帝
თარგი:ბერძნული მითოლოგია	Template:オリュンポス十二神
თარგი:სამხრეთ სუდანის შტატები	Template:南スーダンの州
თარგი:ფეხბურთის მწვრთნელის ისტორია	Template:Football manager history
თარგი:დენვერ ნაგეტსის შემადგენლობა	Template:デンバー・ナゲッツのロースター
თარგი:მოზამბიკის პროვინციები	Template:モザンビークの州
თარგი:ფეხბურთის მწვრთნელის სიის ჩანაწერი	Template:Football manager list entry
თარგი:Lang-gsw	Template:Lang-gsw
თარგი:ESP-1977	Template:ESP1977
თარგი:USA 38 Stars	Template:USA1877
თარგი:ბრაზილიის ნაკრები კონფედერაციების თასზე 1999	Template:FIFAコンフェデレーションズカップ1999ブラジル代表
თარგი:ნავდაფა ძუძუმწოვრები	Template:哺乳類
თარგი:გოლდენ სტეიტ უორიორსის შემადგენლობა	Template:ゴールデンステート・ウォリアーズのロースター
თარგი:DEU-1919	Template:DEU1919
თარგი:მსოფლიო მემკვიდრეობის ძეგლები რუმინეთში	Template:ルーマニアの世界遺産
თარგი:რობერტ როდრიგესი	Template:ロバート・ロドリゲス監督作品
თარგი:მსოფლიო მემკვიდრეობის ძეგლები ალჟირში	Template:アルジェリアの世界遺産
თარგი:მინესოტა ტიმბერვულვზის შემადგენლობა	Template:ミネソタ・ティンバーウルブズのロースター
თარგი:The Beach Boys	Template:ザ・ビーチ・ボーイズ
თარგი:Ruw	Template:Ruw
თარგი:რაგბის მსოფლიო ჩემპიონატი	Template:ラグビーワールドカップ
ვიკიპედია:ვიზუალური რედაქტორი	Wikipedia:ビジュアルエディター
თარგი:ადამიანი ობობა	Template:スパイダーマン
თარგი:ლოს-ანჯელეს კლიპერსის შემადგენლობა	Template:ロサンゼルス・クリッパーズのロースター
თარგი:პორტლენდ ტრეილ ბლეიზერსის შემადგენლობა	Template:ポートランド・トレイルブレイザーズのロースター
თარგი:ლოს-ანჯელეს ლეიკერსის შემადგენლობა	Template:ロサンゼルス・レイカーズのロースター
მდინარისპირა ტყე	河畔林
თარგი:ქვეყნის მონაცემები არკანზასი	Template:Country data Arkansas
თარგი:იასამნისფერი ფერის ტონალობები	Template:紫色系
თარგი:BAFTA-ს დაჯილდოება	Template:英国アカデミー賞
თარგი:POL-1815	Template:POL1815
თარგი:მსოფლიო მემკვიდრეობის ძეგლები თურქეთში	Template:トルコの世界遺産
თარგი:ჰაიაო მიაძაკის ფილმები	Template:宮崎駿
თარგი:ეთიოპიის პოლიტიკა	Template:エチオピアの政治
თარგი:ZAI	Template:ZR1967
თარგი:ინფოდაფა თურქეთის პროვინცია/ინფო	Template:Infobox Province TR
თარგი:Fb cl2 qr	Template:Fb cl2 qr
თარგი:ხანგრძლივობა2	Template:For year month day
ვიკიპედია:როგორ მუშაობს ახალი ამბების პორტალი	Portal:最近の出来事/編集方針
უდაიინი	ウダーイン
თარგი:Ru	Template:RU
თარგი:სსრკ-ის შემადგენლობა 1972 წლის ევროპის საფეხბურთო ჩემპიონატზე	Template:UEFA欧州選手権1972ソビエト連邦代表
იაპი (შტატი)	ヤップ州
თარგი:GCM	Template:GCM
კატეგორია:რუსეთის ტელევიზია	Category:ロシアのテレビ
ჰიროში ამანო	天野浩
ვიკიპედია:ვიკიპროექტი:ნიდერლანდი	プロジェクト:オランダ
ოკინავის დაბრუნების შეთანხმება	沖縄返還協定
ადამიანი ყუთი	箱男
ხუნხე-ხანის ბრინჯის ტერასები	紅河ハニ棚田
ფუკურო იპეი	袋一平
პირველადსაფრიანები	離弁花類
თარგი:ფორმულა ერთის რბოლები	Template:F1選手権レース
თარგი:ნიუ-ორლეან ჰორნეტსის შემადგენლობა	Template:ニューオーリンズ・ペリカンズのロースター
კალამიტისნაირნი	ロボク
თარგი:Cite music release notes	Template:Cite music release notes
თარგი:Longitem	Template:Longitem
თარგი:ბრაზილია 1966 წლის მსოფლიო საფეხბურთო ჩემპიონატზე	Template:1966 FIFAワールドカップブラジル代表
ინგლისის ისტორია	イングランドの歴史
შვაბია	シュヴァーベン
სერენგეტის ეროვნული პარკი	セレンゲティ国立公園
თარგი:აშშ-ის თავდაცვის მდივნები	Template:アメリカ合衆国国防長官
ამფიუმისებრნი	アンフューマ科
თარგი:Location mark	Template:Location mark
თარგი:Location mark+	Template:Location mark+
თარგი:ინფოდაფა დამოუკიდებლები ოლიმპიადაზე	Template:Infobox バルセロナオリンピック独立参加選手団
რქაფოთოლასებრნი	マツモ科
ქილილა და დამანა	カリーラとディムナ
სელფი	自分撮り
თარგი:ჯორჯ ჰარისონი	Template:ジョージ・ハリスン
თარგი:Tlp	Template:Tlp
თარგი:საფრანგეთის პრეზიდენტები	Template:フランスの大統領
თარგი:Queen-ის სინგლები	Template:クイーンのシングル
თარგი:Noitalic	Template:Noitalic
თარგი:Take That	Template:テイク・ザット
დართ ვეიდერი	ダース・ベイダー
ჟოლო	ヨーロッパキイチゴ
Electric (Pet Shop Boys-ის ალბომი)	エレクトリック (ペット・ショップ・ボーイズのアルバム)
თარგი:სსრკ-ის შემადგენლობა 1986 წლის მსოფლიო საფეხბურთო ჩემპიონატზე	Template:1986 FIFAワールドカップソビエト連邦代表
ევროპის საფეხბურთო ჩემპიონატი 2016: კვალიფიკაცია	UEFA EURO 2016予選
თარგი:ინფოდაფა coord	Template:Infobox coord
მონადა	モナド (哲学)
თარგი:უკრაინის პრემიერ ლიგის გუნდები	Template:ウクライナ・プレミアリーグ
ნოემბერი 2014	Portal:最近の出来事/2014年11月
ივნისი 2014	Portal:最近の出来事/2014年6月
ივლისი 2014	Portal:最近の出来事/2014年7月
აგვისტო 2014	Portal:最近の出来事/2014年8月
სექტემბერი 2014	Portal:最近の出来事/2014年9月
კიფარა	キタラー
თარგი:S-rail	Template:S-rail
თარგი:S-rail/lines	Template:S-rail/lines
თარგი:S-rail-start	Template:S-rail-start
თარგი:S-rail-next	Template:S-rail-next
თარგი:S-line	Template:S-line
ანდრეი კისკა	アンドレイ・キスカ
თარგი:სსრკ-ის შემადგენლობა 1976 წლის ზაფხულის ოლიმპიადაზე	Template:モントリオールオリンピック サッカーソビエト連邦代表
თარგი:ინფოდაფა პარანორმალური არსება	Template:Infobox paranormal creature
საზოგადოებრივი გეოგრაფია	人文地理学
ჩინეთის დინასტიები	中国史時代区分表
სიოიტი იტიკავა	市川正一
თარგი:ორმაგი ჯვარი	Template:Double-dagger
თარგი:Fb-big	Template:Fb-big
თარგი:Flaglink	Template:Flaglink
თარგი:ინფოდაფა რადიოგადაცემა	Template:基礎情報 ラジオ番組
სომხეთის ადმინისტრაციული დაყოფა	アルメニアの行政区画
დიდი გმირების ექვსეული (ფილმი)	ベイマックス
თარგი:End	Template:End
თარგი:ეროვნული შემადგენლობა ნომრების გარეშე	Template:National squad no numbers
თარგი:მოლდოვის პრეზიდენტები	Template:モルドバ共和国大統領
თარგი:Instagram	Template:Instagram
გიორგი მარგველაშვილი	ギオルギ・マルグヴェラシヴィリ
თარგი:Imdb ეპიზოდები	Template:IMDb episodes
თარგი:ავსტრალიის პოლიტიკური პარტიები	Template:オーストラリアの政党
კატეგორია:ვირუსული დაავადებები	Category:ウイルス感染症
გიზის ნეკროპოლისი	メンフィスとその墓地遺跡
თარგი:მულტი-მოსმენა ერთეული	Template:Multi-listen item
თარგი:Str index/getchar	Template:Str index/getchar
თარგი:ინფოდაფა 3 სვეტით/რიგი/ინფო	Template:Infobox3cols/row
თარგი:ჩეხეთის მხარეები	Template:チェコの州
თარგი:მალდივის პრეზიდენტები	Template:モルディブ大統領
თარგი:ისლანდიის პრეზიდენტები	Template:アイスランド共和国大統領
თარგი:ნაიტ შიამალანი	Template:M・ナイト・シャマラン監督作品
ეშპინიუ	エスピーニョ
თარგი:აშშ-ის ისტორია	Template:アメリカ合衆国の歴史
თარგი:მუზეუმის კუნძული (ბერლინი)	Template:ムゼウムスインゼル
სარწმუნოების სიმბოლო	ニカイア・コンスタンティノポリス信条
თარგი:საფრანგეთის ფეხბურთი	Template:フランスのサッカー
თარგი:სსრკ-ის შემადგენლობა 1988 წლის ზაფხულის ოლიმპიადაზე	Template:ソウルオリンピック サッカーソビエト連邦代表
ადამიანი ჩიტი (ფილმი)	バードマン あるいは（無知がもたらす予期せぬ奇跡）
თარგი:სუპერმაღალი ცათამბჯენები	Template:Skyscrapers
თარგი:საბერძნეთის შემადგენლობა 2004 წლის ევროპის საფეხბურთო ჩემპიონატზე	Template:UEFA EURO 2004ギリシャ代表
თარგი:გერმანიის შემადგენლობა 1996 წლის ევროპის საფეხბურთო ჩემპიონატზე	Template:UEFA EURO '96ドイツ代表
თარგი:Fbu-big	Template:Fbu-big
თარგი:Bk-big	Template:Bk-big
კატეგორია:XXI საუკუნის ომები	Category:21世紀の戦争
თარგი:სსრკ-ის შემადგენლობა 1988 წლის ევროპის საფეხბურთო ჩემპიონატზე	Template:UEFA欧州選手権1988ソビエト連邦代表
თარგი:სათამაშოების ისტორია	Template:トイ・ストーリー
თარგი:Air force/core	Template:Country flagairforce
Xbox One	Xbox One
თარგი:ინფოდაფა ოსკარი	Template:Infobox Academy Awards
თარგი:ეფუძნება	Template:Based on
თარგი:სსრკ-ის შემადგენლობა 1980 წლის ზაფხულის ოლიმპიადაზე	Template:モスクワオリンピック サッカーソビエト連邦代表
ფურაჟი	秣
თარგი:იაპონიის ადმინისტრაციული ერთეულის დემოგრაფია	Template:人口統計
თარგი:ბრაზილიის ნაკრები ამერიკის თასზე 1999	Template:コパ・アメリカ1999ブラジル代表
თარგი:ესკიზი-პორნო	Template:Porn-stub
აბჯარი	鎧
თარგი:მომხ C++	Template:User cpp
თარგი:ინფოდაფა სილამაზის კონკურსი	Template:Beauty pageant
თარგი:ინფოდაფა კომიქსი	Template:Infobox graphic novel
თარგი:Image array	Template:Image array
თარგი:Tracklist/Track	Template:Tracklist/Track
თარგი:მაგმური ქანები	Template:火成岩
თარგი:Fb end	Template:Football box end
თარგი:Fb inner start	Template:Football box inner start
თარგი:Fb inner end	Template:Football box inner end
თარგი:Yes	Template:Yes
კატეგორია:შოტლანდიელი მსახიობები	Category:スコットランドの俳優
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-01	Template:自治体人口/北海道
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-02	Template:自治体人口/青森県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-03	Template:自治体人口/岩手県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-04	Template:自治体人口/宮城県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-05	Template:自治体人口/秋田県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-06	Template:自治体人口/山形県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-07	Template:自治体人口/福島県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-08	Template:自治体人口/茨城県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-09	Template:自治体人口/栃木県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-10	Template:自治体人口/群馬県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-11	Template:自治体人口/埼玉県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-12	Template:自治体人口/千葉県
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-13	Template:自治体人口/東京都
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა/JP-16	Template:自治体人口/富山県
თარგი:F1 რბოლა	Template:Infobox F1 race
თარგი:დედამიწის რელიეფის ფორმები	Template:地形
თარგი:ალექსანდრე მაკედონელის ბრძოლები	Template:Campaignbox アレクサンドロス3世の東方遠征
თარგი:GeoTemplate/Lang	Template:GeoTemplate/Lang
თარგი:ნიუ-იორკი	Template:ニューヨーク
თარგი:მალავის პოლიტიკა	Template:マラウイの政治
ვარსკვლავთშორისი	インターステラー
ოსკარის 86-ე დაჯილდოება	第86回アカデミー賞
თარგი:ინფოდაფა შიმშილობა	Template:Infobox famine
ნაქშიდილ სულთანი	ナクシディル・スルタン
Dream Theater (ალბომი)	ドリーム・シアター (アルバム)
თარგი:შუახმელეთი	Template:Middle-earth
ჩინეთის რესპუბლიკა (1912–1949)	中華民国 (1912年-1949年)
თარგი:ანგოლის პრეზიდენტები	Template:アンゴラの大統領
სუ-35БМ	Su-35 (航空機)
თარგი:Superimpose5	Template:Superimpose5
თარგი:მაიამი ჰიტის შემადგენლობა	Template:マイアミ・ヒートのロースター
თარგი:HK-MTR color	Template:HK-MTR color
თარგი:ბოსტონ სელტიკსის შემადგენლობა	Template:ボストン・セルティックスのロースター
სპორანგიუმი	胞子嚢
თარგი:შარლოტ ბობკეტსის შემადგენლობა	Template:シャーロット・ホーネッツのロースター
თარგი:დეტროიტ პისტონსის შემადგენლობა	Template:デトロイト・ピストンズのロースター
თარგი:ტურნირი16	Template:Round16
თარგი:ფილადელფია სიქსერსის შემადგენლობა	Template:フィラデルフィア・セブンティシクサーズのロースター
თარგი:ნიუ-იორკ ნიქსის შემადგენლობა	Template:ニューヨーク・ニックスのロースター
თარგი:ტორონტო რაპტორსის შემადგენლობა	Template:トロント・ラプターズのロースター
თარგი:ინდიანა პეისერსის შემადგენლობა	Template:インディアナ・ペイサーズのロースター
თარგი:მილუოკი ბაქსის შემადგენლობა	Template:ミルウォーキー・バックスのロースター
თარგი:ორლანდო მეჯიკის შემადგენლობა	Template:オーランド・マジックのロースター
თარგი:ვაშინგტონ უიზარდსის შემადგენლობა	Template:ワシントン・ウィザーズのロースター
თარგი:ჰიუსტონ როკეტსის შემადგენლობა	Template:ヒューストン・ロケッツのロースター
თარგი:მემფის გრიზლის შემადგენლობა	Template:メンフィス・グリズリーズのロースター
თარგი:სან-ანტონიო სპურსის შემადგენლობა	Template:サンアントニオ・スパーズのロースター
თარგი:ფინიქს სანსის შემადგენლობა	Template:フェニックス・サンズのロースター
თარგი:საკრამენტო კინგსის შემადგენლობა	Template:サクラメント・キングスのロースター
თარგი:იუტა ჯაზის შემადგენლობა	Template:ユタ・ジャズのロースター
თარგი:ოკლაჰომა-სიტი თანდერის შემადგენლობა	Template:オクラホマシティ・サンダーのロースター
თარგი:Hiero/სერეხი	Template:Hiero/Serech
ვიკიპედია:მთავარი გვერდის ვარიანტები	Wikipedia:メインページ
თარგი:Hex2	Template:Hex2
თარგი:ინფოდაფა დამნაშავე	Template:Infobox 犯罪者
თარგი:ინფოდაფა ტანკი	Template:戦車
კატეგორია:ნიკ კასავეტესის ფილმები	Category:ニック・カサヴェテスの監督映画
თარგი:Flagbig	Template:Flagbig
თარგი:მსოფლიო მემკვიდრეობის ძეგლები ნიგერში	Template:ニジェールの世界遺産
კატეგორია:მინერალური წყლები	Category:ミネラルウォーター
ჯუნ სკუიბი	ジューン・スキッブ
თარგი:NBA-ის რუკა	Template:NBA labeled map
თარგი:Ru-big	Template:Ru-big
თარგი:Ru-rt	Template:Ru-rt
თარგი:Ru7-rt	Template:Ru7-rt
თარგი:Style/IPA	Template:Style/IPA
თარგი:Style/yid	Template:Style/yid
ადლი მანსური	アドリー・マンスール
თარგი:Hiero/კარტუში	Template:Hiero/cartouche
ძვ. წ. 21	紀元前21年
ბესა	ベッサス
თარგი:ესკიზი-ტოლკინი	Template:Tolkienstub
თარგი:ME-date	Template:ME-date
მახასიათებელი ნაკლი (ფილმი)	インヒアレント・ヴァイス
თარგი:ინფოდაფა გამოგონილი ადგილი	Template:Infobox fictional location
Songs of Innocence (ალბომი)	ソングス・オブ・イノセンス (U2のアルバム)
თარგი:Metacritic album	Template:Metacritic album
სოფისტები	ソフィスト
ლოპეს ეროვნული პარკი	ロペ＝オカンダ
პილბარა	ピルバラ
მამნუნ ჰუსეინი	マムヌーン・フセイン
წყლისპირისებრნი	ウキクサ科
თარგი:რომაული არმია	Template:ローマ軍
კატეგორია:წიფლისნაირნი	Category:ブナ目
თარგი:The Cardigans	Template:カーディガンズ
თარგი:Lang-gag	Template:Lang-gag
თარგი:მორისი	Template:モリッシー
თარგი:New Order	Template:ニュー・オーダー
თარგი:ბრაზილია 1959 წლის სამხრეთ ამერიკის საფეხბურთო ჩემპიონატზე (არგენტინა)	Template:コパ・アメリカ1959ブラジル代表
თარგი:იაპონიის ადმინისტრაციული ერთეულის დემოგრაფია/02	Template:人口統計/02
თარგი:იაპონიის ადმინისტრაციული ერთეულის დემოგრაფია/დინამიკა	Template:人口統計/fluctuation
თარგი:იაპონიის ადმინისტრაციული ერთეულის დემოგრაფია/დინამიკა/ელემენტი	Template:人口統計/fluctuation/item
თარგი:ინფოდაფა დაცული ტერიტორია/IUCN II	Template:Infobox protected area/IUCN II
თარგი:ინფოდაფა დაცული ტერიტორია/IUCN III	Template:Infobox protected area/IUCN III
თარგი:ინფოდაფა დაცული ტერიტორია/IUCN IV	Template:Infobox protected area/IUCN IV
თარგი:ინფოდაფა დაცული ტერიტორია/IUCN Ia	Template:Infobox protected area/IUCN Ia
თარგი:ინფოდაფა დაცული ტერიტორია/IUCN Ib	Template:Infobox protected area/IUCN Ib
თარგი:ინფოდაფა დაცული ტერიტორია/IUCN VI	Template:Infobox protected area/IUCN VI
თარგი:იაპონიის ადმინისტრაციული ერთეულის მოსახლეობა	Template:自治体人口
თარგი:იაპონიის ადმინისტრაციული ერთეულის ფართობი/JP-01	Template:自治体面積/北海道
თარგი:იაპონიის ადმინისტრაციული ერთეულის ფართობი/JP-02	Template:自治体面積/青森県
თარგი:იაპონიის ადმინისტრაციული ერთეულის ფართობი/JP-03	Template:自治体面積/岩手県
თარგი:იაპონიის ადმინისტრაციული ერთეულის ფართობი/JP-16	Template:自治体面積/富山県
თარგი:საქართველოს პოლიტიკური პარტიები	Template:グルジアの政党
თარგი:ესტონეთის პოლიტიკური პარტიები	Template:エストニアの政党
თარგი:უეფა-ს თასების მფლობელთა თასის სეზონები	Template:各年のUEFAカップウィナーズカップ
თარგი:ინფოდაფა სუმოისტი	Template:Infobox 力士
თარგი:დისნეის ფანტაზია	Template:ファンタジア
Applause	アプローズ (レディー・ガガの曲)
თარგი:დოკაკლია	Template:No documentation
ვიკიპედია:მომდევნო ვიკიპროექტის შერჩევა	Wikipedia:今週の強化記事/投票
ვიკიპედია:თარგები/მომხმარებლები/ვიკიპედია	Wikipedia:ユーザーボックス/ウィキペディア
თარგი:Linkexist	Template:Linkexist
თარგი:მექსიკის პოლიტიკური პარტიები	Template:メキシコの政党
თარგი:ამერიკის პოლიტიკა/პარტიის ფერები/დემოკრატები	Template:American politics/party colors/Democratic
თარგი:Fb cs footer	Template:Fb cs footer
თარგი:Fb cs header	Template:Fb cs header
თარგი:Fb cs staff	Template:Fb cs staff
თარგი:IBList	Template:IBList
თარგი:ISOdate	Template:ISOdate
თარგი:ინფოდაფა დაცული ტერიტორია/IUCN V	Template:Infobox protected area/IUCN V
თარგი:ME-ref/BLS	Template:ME-ref/BLS
თარგი:ME-ref/FotR	Template:ME-ref/FOTR1
თარგი:ME-ref/RotK	Template:ME-ref/ROTK1
თარგი:ME-ref/Silm	Template:ME-ref/SILM
თარგი:ME-ref/TH	Template:ME-ref/TH
თარგი:ME-ref/TT	Template:ME-ref/TT1
თარგი:ME-ref/UT	Template:ME-ref/UT1
თარგი:Pap	Template:Pap icon
თარგი:Player	Template:Player
თარგი:Superimpose2/base	Template:Superimpose2/base
თარგი:ლელო	Template:Try
თარგი:აცტეკების იმპერატორები	Template:アステカ君主
თარგი:სეფიანები	Template:サファヴィー朝
თარგი:ჯდ ტომი და ჯერი	Template:トムとジェリーの短編作品 (ジーン・ダイッチ期)
თარგი:ჩჯ ტომი და ჯერი	Template:トムとジェリーの短編作品 (チャック・ジョーンズ期)
თარგი:საქონელი (ეკონომიკა)	Template:経済学の財
თარგი:Lunar coords and quad cat	Template:Lunar coords and quad cat
თარგი:მიმოხილვა-კრისტგოუ	Template:Review-Christgau
თარგი:IPA	Template:IPA
მაგია მთვარის შუქზე	マジック・イン・ムーンライト
კატეგორია:ღმერთები	Category:神々
კატეგორია:ეკონომიკა კონტინენტების მიხედვით	Category:大陸別の経済
მოდული:Br separated entries	モジュール:Br separated entries
თარგი:ME-ref	Template:ME-ref
