ཨ་ཧྥེ་རི་ཁ།	アフリカ
Category:རྩི་ཤིང་རིག་པ།	Category:植物学
Category:གཤག་བཅོས་རིག་པ།	Category:解剖学
Category:སྨན།	Category:医学
Category:ཆབ་སྲིད།	Category:政治
Category:སློབ་གསོ།	Category:教育
Category:སྒྱུ་རྩལ།	Category:芸術
ཨའི་ཅི།	エジプト
Category:མཚན་ཉིད་རིག་པ་བ།	Category:哲学者
Template:Bot	Template:Bot
ཁ་ན་ཌ།	カナダ
Category:ཧུང་གྷ་རི།	Category:ハンガリー
Category:པེར་ཅིན།	Category:ベルギー
Category:སེ་པི་རི་སི།	Category:キプロス
Category:ཅེཀ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Category:チェコ
Category:དན་མྲག	Category:デンマーク
Category:ཨིསུ་ཊོ་ནིཡ།	Category:エストニア
Category:ཀེ་རི་སི།	Category:ギリシャ
Category:ལ་ཊ་ཝིཡ།	Category:ラトビア
Category:ཨཡིསུ་ལེན་ཌ།	Category:アイスランド
Category:ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Category:ルクセンブルク
Category:ལི་ཐུ་ཨེ་ནི་ཡ།	Category:リトアニア
Category:མལ་ཏ།	Category:マルタ
Category:སི་ཝེ་དེན	Category:スウェーデン
Category:སི་ལོ་ཕ་ཁེ།	Category:スロバキア
Category:སི་ལོ་ཝེ་ནི་ཡ།	Category:スロベニア
Category:ཨར་ལེན་ཌ།	Category:アイルランド
Wikipedia:Copyrights	Wikipedia:著作権
Wikipedia:ཡི་སྐོར།	Wikipedia:ウィキペディアについて
Category:རོལ་རྩེད།	Category:ゲーム
Template:Flagicon	Template:Flagicon
Category:ཡོ་རོབ་གླིང་གི་རྒྱལ་ཁབ།	Category:ヨーロッパの国
Category:ཡོ་རོབ་གླིང་།	Category:ヨーロッパ
Template:Documentation	Template:Documentation
Category:ལྦེ་ཁེ་བ།	Category:ウィキペディアン
ཚོང་ལས།	企業
Template:Softredirect	Template:Softredirect
Template:གསུབ་པ	Template:即時削除
Category:སྐད་རིགས།	Category:諸言語
Category:བརྡ་སྤྲོད་ཀྱི་གཞུང་།	Category:文法
Category:ལོ་ཐོ།	Category:暦法
Wikipedia:General disclaimer	Wikipedia:免責事項
ཁོར་ཡུག་འཛུགས་སྐྲུན།	建造環境
Category:Pages with broken file links	Category:壊れたファイルへのリンクがあるページ
Wikipedia:སྒྲོམ་གཞི།	Wikipedia:Template メッセージの一覧
དམག་མི།	兵
དམར་སྨུག	フクシャ
Template:Navbox	Template:Navbox
དྲང་པོ།	正義
Template:!	Template:!
དད་པ།	信仰
Template:Clear	Template:Clear
Template:Col-break	Template:Col-break
Template:Col-begin	Template:Col-begin
Template:Col-end	Template:Col-end
Template:Nowrap	Template:Nowrap
རྩི་ཤིང་རིགས་ཤིག	セイヨウスノキ
Wikipedia:སྐད་རིགས་ཆ་ཚང་ཡོད་པའི་རྩོམ་ཡིག་ཟིན་ཐོ།	Wikipedia:すべての言語版にあるべき項目の一覧
Category:ཨ་ཧྥེ་རི་ཁ་གླིང་།	Category:アフリカ
Category:གྲངས་ཀ།	Category:数
Category:གསུང་རབ།	Category:聖書
Category:དེབ།	Category:書物
Template:བྷི་པེལ།	Template:Babel
Template:Commons	Template:Commons
Template:Reflist	Template:Reflist
Template:ཆ་མི་ཚང་བ	Template:Stub
Template:User eo-1	Template:User eo-1
Template:User bg-1	Template:User bg-1
Template:User eo-3	Template:User eo-3
Template:User de	Template:User de
Template:User de-1	Template:User de-1
Template:User es	Template:User es
Template:User de-3	Template:User de-3
Template:User en-3	Template:User en-3
Template:User en-1	Template:User en-1
Template:User en-2	Template:User en-2
Template:User eo-2	Template:User eo-2
Template:User en-4	Template:User en-4
Template:User en-0	Template:User en-0
Template:User en	Template:User en
Template:User de-2	Template:User de-2
Category:དངོས་པོ།	Category:物質
Category:འཚོ་བ།	Category:生命
Template:User he-2	Template:User he-2
Template:User it-3	Template:User it-3
Template:User ja-4	Template:User ja-4
Template:User ja	Template:User ja
Template:User ja-1	Template:User ja-1
Template:User it-1	Template:User it-1
Template:User hr-1	Template:User hr-1
Template:User fr	Template:User fr
Template:Unsigned	Template:Unsigned
Category:སྲིན་འབུ།	Category:昆虫
Category:མོལ་དོ་ཝ།	Category:モルドバ
Category:ཨ་ཛར་བཡི་ཇན།	Category:アゼルバイジャン
Category:ཡ་ཀྲོའུ་གླིང་	Category:アジア
Category:ཅི་ལི།	Category:チリ
Category:ལི་སོ་ཐོ།	Category:レソト
Category:User uk	Category:User uk
Category:User uk-N	Category:User uk-N
Category:མ་ལ་ཤི་ཡ།	Category:マレーシア
Template:Mod	Template:Mod
Template:User uk	Template:User uk
Template:དགའ་བསུ་ཞུ	Template:Welcome
Category:གཟའ་འཁོར་གྱི་རེ་གཟའ་གཅིག	Category:曜日
Category:ཟླ་བ།	Category:月
Template:Country flagnavy	Template:Country flagnavy
Category:སྐད་བརྡ་རིག་པ།	Category:言語学
Template:ཨ་ཧྥེ་རི་ཁ་གླིང་།	Template:アフリカ
Template:Userboxbottom	Template:Boxboxbottom
Template:Country data ལེ་སུ་ནི་ཡྰ།	Template:Country data Lithuania
Template:S-start	Template:S-start
Category:ཀ་ན།	Category:ガーナ
Category:ཕ་རི།	Category:パリ
Category:User en-4	Category:User en-4
Category:ཊོ་གོ	Category:トーゴ
Category:User en	Category:User en
Category:ཁུརོ་ཤི་ཡ།	Category:クロアチア
Category:User zh-N	Category:User zh-N
Category:User en-2	Category:User en-2
Template:User eo	Template:User eo
Template:User zh	Template:User zh
Template:Navbox/core	Template:Navbox/core
Template:Template other	Template:Template other
Template:རྒྱལ་ཁབ་ཀྱི་ཆ་འཕྲིན།	Template:Country data
Category:མིང་།	Category:名前
Category:རི་འཛེག་ལུས་རྩལ།	Category:クライミング
Category:ཟས་ཀྱི་རིག་པ།	Category:飲食
Template:Pp-template	Template:Pp-template
Template:Wikispecies	Template:Wikispecies
Template:User nl-2	Template:User nl-2
Category:སོ་ནམ།	Category:農業
Category:ཙུང་ཐུང་ གཙོ་འཛིན།	Category:大統領
Template:User ru	Template:User ru
Category:ཨ་མེ་རི་ཀ	Category:アメリカ
Category:ནོའོ་བྷེལ་བྱ་དགའ་རགས་མཁན།	Category:ノーベル平和賞受賞者
Category:Language user templates	Category:バベル
Category:ཚད་འཇལ་བྱེད་ཀྱི་སྡེ་ཚན།	Category:物理単位
Template:User eo-4	Template:User eo-4
Category:རྩོམ་པ་པོ།	Category:作家
Category:དམག་དོན།	Category:軍事
Category:སློབ་གྲྭ་ཆེན་མོ།	Category:大学
Category:ཀྲུང་ཧྭ་མི་སྤྱི་མཐུན་རྒྱལ་ཁབ་ཀྱི་ཀྲུའུ་ཞི།	Category:中華人民共和国主席
Template:User pl	Template:User pl
Template:ཆོས་ལུགས།	Template:宗教
Category:རི་མོ།	Category:絵画
Template:Purge	Template:Purge
Category:འདུ་ཤེས།	Category:感情
Category:ཡི་ལང་གི་སྒྱུ་རྩལ།	Category:イランの芸術
རམས་ཚོས།	インディゴ (色)
Template:User pl-1	Template:User pl-1
Category:ཏུ་ནི་ཤི་ཡ།	Category:チュニジア
Template:User lt	Template:User lt
Category:ལག་ཆ།	Category:機器
Template:Mbox	Template:Mbox
Category:མར་ཁེ་སེ་རིང་ལུགས།	Category:マルクス主義
Template:User de-0	Template:User de-0
Template:User en-5	Template:User en-5
Wikipedia:Guestbook for non-Tibetan speaker	Wikipedia:Help for Non-Japanese Speakers
Category:User ja-N	Category:User ja-N
Category:སྤེན་པ།	Category:土星
Category:ལྷག་པ།	Category:水星
Category:ཤ་རི་ཡ།	Category:イスラーム法
Category:ཇ།	Category:茶
Category:རྩ།	Category:イネ科
Category:ཁེ་ར་བི་ཧན།	Category:西インド諸島
ཉི་འགོག	サンバイザー
Category:སུ་ཝ་ཛི་ལནཌ།	Category:スワジランド
Category:འོད་པར་རྒྱབ་ཐབས།	Category:写真
Category:ཚགས་པར།	Category:新聞
Category:དཔྱིད།	Category:春
Template:གསལ་བྱེད།	Template:子音
Category:ཁང་རྩིག་བཟོ་རིག	Category:建築
Category:མེ་འཁོར།	Category:鉄道
Category:འཇར་མན་གྱི་སྒྱུ་རྩལ།	Category:ドイツの芸術
Category:ཁྲོམ་ལམ།	Category:街路
Category:གི་རི་ན་ཌ། (རྒྱལ་ཁབ།)	Category:グレナダ
Template:User fr-4	Template:User fr-4
Template:User bo-1	Template:User bo-1
Template:User eo-0	Template:User eo-0
Category:མ་སེ་ཌོ་ནིཡ། (རྒྱལ་ཁབ།)	Category:マケドニア共和国
Category:User la	Category:User la
Category:User lt	Category:User lt
Category:User fr-4	Category:User fr-4
Category:User fr-N	Category:User fr-N
Category:User lt-N	Category:User lt-N
Category:User ru-N	Category:User ru-N
Category:ཚོང་ལས།	Category:ビジネス
Category:ཏོའོ་ཅོའོ་ཆོས་ལུགས།	Category:道教
Category:User bo	Category:User bo
Category:User bo-1	Category:User bo-1
Category:User de	Category:User de
Category:རའོ་མེའུ་ཨོ་དང་ཇོའུ་ལིའུ་ཡ་ཐི།	Category:ロミオとジュリエット
Category:User en-3	Category:User en-3
Category:User en-N	Category:User en-N
Category:སའོ་ཊོ་མེ་དང་པི་རིན་སི་པ།	Category:サントメ・プリンシペ
Category:དགེ་སྒྲུབ།	Category:慈善団体
Category:ཀན་སུ།	Category:甘粛省
Category:ཀྲུང་གོའི་རི་མོ་མཁས་ཅན།	Category:中国の画家
Category:ཨའི་ཆི་ཞེས་པའི་སྲིད་འཛིན་ས་ཁུལ།	Category:愛知県
Category:རྒྱལ་ཁབ་གྱི་ཆབ་སྲིད།	Category:各国の政治
Category:དབྱིབས་རྩིས་རིག་པ།	Category:幾何学
Category:གཞས་རིག་པ།	Category:音楽学
Category:User ja-1	Category:User ja-1
Category:མེ་རི།	Category:火山
Category:User ru-1	Category:User ru-1
Category:སྙན་ངག་མཁན།	Category:詩人
Category:ས་མུ་རའི།	Category:武士
Template:ཀེ་རི་སིའི་དབྱངས་གསལ་རེའུ་མིག	Template:ギリシア文字
Category:མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Category:ミクロネシア連邦
ཧྲང་ཨན།	長安
Category:རྒྱལ་སྤྱིའི་འཁྲབ་སྟོན་པ།	Category:各国の俳優
Category:མེ་ཏོག་སྐོར།	Category:花
Category:ཉི་མའི་ཁྱིམ་རྒྱུད།	Category:太陽系
Category:ཧོ་ཁའི་དོ།	Category:北海道
Category:ཀོང་ཏུང་ཞིང་ཆེན།	Category:広東省
Category:ཧྲའན་ཞི།	Category:陝西省
Category:ཨན་ཧུའེ་ཞིང་ཆེན།	Category:安徽省
Category:ཅི་ལིན།	Category:吉林省
Category:ཧྥུའུ་ཅན།	Category:福建省
Category:ཧའེ་ནན།	Category:海南省
Category:ཌོ་མི་ནི་ཀན་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Category:ドミニカ共和国
Category:ཆུ།	Category:水
Category:བཏུང་བྱའི་སྐོར།	Category:飲料
Category:རྒྱལ་ཁབ་གྱི་དབུ་འཛིན།	Category:各国の大統領
ལུང་སྟོན་པ་ཤ་མུ་ཨེལ།	サムエル
Category:བྷེ་ལ་རསུ།	Category:ベラルーシ
Category:ཨ་ཧྥེ་རི་ཁའི་གླིང་གི་རྒྱལ་ཁབ།	Category:アフリカの国
Category:བེང་ག་ལི།	Category:ベンガル
Category:ཨེ་དོའི་དུས་སྐབས།	Category:江戸時代
Category:ཧྥ་ཤི་སིའི་རིང་ལུགས།	Category:ファシズム
Category:བྲན་གཡོག་རིང་ལུགས།	Category:奴隷制
Template:User ru-2	Template:User ru-2
Template:User es-3	Template:User es-3
Category:མིག་དམར།	Category:火星
Category:User ru	Category:User ru
Category:User ru-2	Category:User ru-2
Category:User ru-3	Category:User ru-3
Category:User uk-2	Category:User uk-2
Category:ཧྲན་ཏུང་།	Category:山東省
Category:ཀྲེ་ཅང་།	Category:浙江省
Category:མཚོ་སྔོན་ཞིང་ཆེན།	Category:青海省
Category:ཧའོ་ནན།	Category:河南省
Category:ཧུའུ་ནན།	Category:湖南省
Category:ཤིང་།	Category:木
Category:སྤྱི་ཚོགས་རིག་པ།	Category:社会学
Category:སྤྲིན།	Category:雲
Template:Nowrap end	Template:Nowrap end
Category:འགྲོ་བ་མི།	Category:人間
Category:ཨོ་ཝེར་ཉེ།	Category:オーヴェルニュ地域圏
Template:རྩི་ཤིང་རིག་པ།	Template:植物学
Category:མི་དི་ཕི་རེ་ནེ།	Category:ミディ＝ピレネー地域圏
Template:ནང་བསྟན།	Template:Buddhism2
ཀུན་དགའ།	根呷
Category:ཕོ་རོའོ་ཝང་སི་ཝལ་ཕེས་ཁོ་ཏེ་ད་ཟུར།	Category:プロヴァンス＝アルプ＝コート・ダジュール地域圏
Category:ནང་པ་སངས་རྒྱངས་ཀྱི་ལྷ།	Category:仏
Category:མེག་སི་ཀོ་གསར་མ།	Category:ニューメキシコ州
Category:མི་ཅི་གྷན།	Category:ミシガン州
Category:ཡོ་བ།	Category:アイオワ州
Category:ཨིན་ཌི་ཡཱ་ན།	Category:インディアナ州
Category:ཁོ་ལོ་ར་ཌོ།	Category:コロラド州
Category:ཨ་པོའུ་དྷ་པེ།	Category:アブダビ
Category:འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Category:第一次世界大戦
Category:རླུང་།	Category:風
Category:ཨོའོ་སི་ཁྲོ་རི་ཡའི་རྩོམ་པ་པོ།	Category:オーストリアの著作家
Category:དབྱི་རག་གི་རྩོམ་པ་པོ།	Category:アイルランドの著作家
Category:དབྱི་ཐ་ལི་ཡི་རྩོམ་པ་པོ།	Category:イタリアの著作家
Category:ཨང་གོ་ལ།	Category:アンゴラ
Category:བེ་ནིན།	Category:ベナン
Category:བྷོ་ཙི་ཝ་ན།	Category:ボツワナ
Category:བུར་ཀི་ན་ཕ་སོ།	Category:ブルキナファソ
Category:བུ་རུན་ཌི།	Category:ブルンジ
Category:ཇི་བའོ་ཊི།	Category:ジブチ
Category:ཀོ་ཊི་ཌི་ཨའི་བོ་རི།	Category:コートジボワール
Category:ཨི་ཁུའ་ཊོ་རལ་གི་ནེ།	Category:赤道ギニア
Category:ཨི་རི་ཏྲའ།	Category:エリトリア
Category:གེ་བོན།	Category:ガボン
Category:གེམ་བྷི་ཡ།	Category:ガンビア
Category:གི་ནེ།	Category:ギニア
Category:གི་ནེ་-བི་སའོ།	Category:ギニアビサウ
Category:ཁམ་མུ་རོན།	Category:カメルーン
Category:ཁེབ་ཝར་ཌི།	Category:カーボベルデ
Category:ཁེ་ནི་ཡ།	Category:ケニア
Category:ཁོ་མོ་རོ་སུ།	Category:コモロ
Category:ལི་བེ་རི་ཡ།	Category:リベリア
Category:མ་ད་གཱ་སི་ཀར།	Category:マダガスカル
Category:མ་ལ་ཝི།	Category:マラウイ
Category:མ་ལི།	Category:マリ共和国
Category:མའེ་ལོ་ཀོ།	Category:モロッコ
Category:མའུ་རི་ཏ་ནི་ཡ།	Category:モーリタニア
Category:མའུ་རི་ཊིའུ་སུ།	Category:モーリシャス
Category:མོ་ཛམ་བིཀ།	Category:モザンビーク
Category:ན་མི་བྷི་ཡ།	Category:ナミビア
Category:ནི་ཇར།	Category:ニジェール
Category:ཀོང་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Category:コンゴ共和国
Category:རུ་ཝན་ཌ།	Category:ルワンダ
Category:ཕོ་ལན་གྱི་སྒྱུ་རྩལ།	Category:ポーランドの芸術
Category:དྷོ་ཧ།	Category:ドーハ
Template:Merge	Template:統合提案
Category:ནང་པ་སངས་རྒྱས།	Category:仏教に関連する人物
Template:Infobox Language/family-color	Template:Infobox Language/family-color
Template:User ca-3	Template:User ca-3
Template:User cs-3	Template:User cs-3
Category:གཙང་པོ།	Category:河川
Template:User la-2	Template:User la-2
Template:User ru-1	Template:User ru-1
Template:User sk-2	Template:User sk-2
Template:User zh-1	Template:User zh-1
Template:User zh-4	Template:User zh-4
Category:ཛམ་བི་ཡ།	Category:ザンビア
Category:སི་ནི་གཱལ།	Category:セネガル
Category:ཧྥ་རན་སིའི་སྲིད་དོན།	Category:フランスの政治
Category:སེ་ཆེ་ལེ་སུ།	Category:セーシェル
Category:སི་ར་ལེ་ཨོན།	Category:シエラレオネ
Category:ཛིམ་བབ་ཝི།	Category:ジンバブエ
Category:ཁབ་ལེན།	Category:磁気
Category:སོ་མ་ལི།	Category:ソマリア
Category:ཆཱ་ཌ།	Category:チャド
Category:ཨུ་གན་ད།	Category:ウガンダ
Category:དབུས་ཨ་ཧྥེ་རི་ཁན་རི་པཔ་ལིཀ།	Category:中央アフリカ
Category:གླུ་གཞས་ཟློས་གར།	Category:オペラ
Category:བོད་མི།	Category:チベット民族
Category:ཟློས་གར།	Category:演劇
Category:མི་རིགས་ཀྱི་གཞས་གཏོང་མཁན།	Category:各国の歌手
Category:ཧྥི་ལི་པིན​།	Category:フィリピン
Category:ཧྥ་རན་སིའི་གཞས་པ་གཞས་མ།	Category:フランスの歌手
Category:དབྱིན་ཇིའི་ཕྱི་འབྲེལ་མཁས་ཅན།	Category:イギリスの外交官
Category:ཤོག་བུ།	Category:紙
Category:དགོང་མོ།	Category:夜
Category:ཨར་མེ་ནི་ཡ།	Category:アルメニア
Category:ཐའེ་ཅི་ཆོན།	Category:太極拳
Category:བྷཧ་རཡིན།	Category:バーレーン
Category:འབྲུག་ཡུལ།	Category:ブータン
Category:ཨ་མི་རི་ཁའི་སྙན་ངག	Category:アメリカ合衆国の詩人
Category:རང་ཤི་རྒྱབ་པ།	Category:自殺
Category:ཨོའོ་སི་ཁྲོ་རི་ཡའི་རི་འཛེགས་པ།	Category:オーストリアの登山家
Category:སི་རི་ཡ།	Category:シリア
Category:དབྱི་ཐ་ལི་ཡི་སྙན་ངག་མཁས་ཅན།	Category:イタリアの詩人
Category:དྲ་ཕས་སྤོ་ལོ།	Category:バスケットボール
Category:མེག་སི་ཀོ་ཡི་རི་མོ་མཁས་ཅན།	Category:メキシコの画家
Category:ཡེ་ཤུའི་འཁྲུངས་སྐར།	Category:クリスマス
Category:མི་རིགས་རིང་ལུགས།	Category:ナショナリズム
Category:ཤི་བ།	Category:死
Category:དབུལ་ཕོངས།	Category:貧困
Category:ལོག་གཡེམ་མམ་ཉེས་སྤྱོད།	Category:暴力
Category:ལྗོར་མན་གྱི་ལོ་རྒྱུས་མཁས་ཅན།	Category:ドイツの歴史学者
Category:ཧྥ་རན་སི་ཡི་ལོ་རྒྱུས་མཁས་ཅན།	Category:フランスの歴史学者
Category:ཁ་ར་ཏེ།	Category:空手道
Category:སྒྱུ་རྩལ་གྱི་འགྲེམས་སྟོན།	Category:美術展覧会
Category:ཅཱོན་བུ་རི་ཞིང་ཆེན།	Category:チョンブリー県
Category:ཅཱན་ཐ་བུ་རི་ཞིང་ཆེན།	Category:チャンタブリー県
Category:ཅའི་ཡ་ཕུམ་ཞིང་ཆེན།	Category:チャイヤプーム県
Category:ཅུམ་ཕཱོན་ཞིང་ཆེན།	Category:チュムポーン県
Category:ན་ཁཱོན་ར་ཊི་ཅ་སི་མ་ཞིང་ཆེན།	Category:ナコーンラーチャシーマー県
Category:ན་ཁཱོན་ས་ཝན་ཞིང་ཆེན།	Category:ナコーンサワン県
Category:ན་ཁཱོན་ཕ་ནོམ་ཞིང་ཆེན།	Category:ナコーンパノム県
Category:ནཱན་ཞིང་ཆེན།	Category:ナーン県
Category:པ་ཊ་ནི་ཞིང་ཆེན།	Category:パッターニー県
Category:ཕི་ཊི་ཙ་ནུ་ལོཀ་ཞིང་ཆེན།	Category:ピッサヌローク県
Category:མུཀ་ད་ཧཱན་ཞིང་ཆེན།	Category:ムックダーハーン県
Category:རེ་ཡོང་ཞིང་ཆེན།	Category:ラヨーン県
Category:ར་ནོང་ཞིང་ཆེན།	Category:ラノーン県
Category:ལམ་པང་ཞིང་ཆེན།	Category:ラムパーン県
Category:སོང་ཁ་ལ་ཞིང་ཆེན།	Category:ソンクラー県
Category:ས་ཊུན་ཞིང་ཆེན།	Category:サトゥーン県
Category:ས་ཀཱོན་ན་ཁཱོན་ཞིང་ཆེན།	Category:サコンナコーン県
Category:ནོང་ཁའི་ཞིང་ཆེན།	Category:ノーンカーイ県
Category:ཨ་ལི་ཡེ།	Category:アリエ県
Category:ཨ་ཝེ་རོང་།	Category:アヴェロン県
Category:ཨུ་ཌོན་ཐ་ནི་ཞིང་ཆེན།	Category:ウドーンターニー県
Category:ཆེང་རཱེ་ཞིང་ཆེན།	Category:チエンラーイ県
Category:ཆེང་མྰེ་ཞིང་ཆེན།	Category:チエンマイ県
Category:ཕེ་ཊི་ཅ་བུ་རི་ཞིང་ཆེན།	Category:ペッチャブリー県
Category:ལོའི་ཞིང་ཆེན།	Category:ルーイ県
Category:ཝོ་ཁ་ལུ་ཟེ།	Category:ヴォクリューズ県
Category:ཧྥ་རན་སིའི་སྲིད་དོན་ལས་མཁན།	Category:フランスの政治家
Category:མཚོ་འགག	Category:海峡
Category:དབྱིན་ཇིའི་འཁྲབ་སྟོན་པ།	Category:イングランドの俳優
Category:སྐར་མ་གནམ་རྒྱལ།	Category:天王星
Category:ཕུར་བུ།	Category:木星
Category:སྐར་མ་མཚོ་རྒྱལ།	Category:海王星
Category:ཧིན་རྡུ་དང་ཡོ་རོབ་ཀྱི་སྐད།	Category:インド・ヨーロッパ語族
Category:ཉི་ཧུང་གི་རི་མོ་མཁས།	Category:日本の画家
Category:འབྲུ་རིགས་སྐོར།	Category:穀物
Template:རྒྱལ་ཁབ་ཀྱི་ཆ་འཕྲིན།Lithuanian SSR	Template:Country data Lithuanian SSR
Category:ཀྲུང་གོའི་གཞས་པ་དང་གཞས་མ།	Category:中国の歌手
Category:ཧྥ་རན་སིའི་བཀའ་བློན་འགོ་གཙོ།	Category:フランスの首相
Category:བྱང་ཀོ་རི་ཡ།	Category:朝鮮民主主義人民共和国
Category:ཇིཨོར་ཇི་ཡ། (རྒྱལ་ཁབ།)	Category:グルジア
Category:ཁམ་པོ་ཛ།	Category:カンボジア
Category:རྒྱ་མི།	Category:中国の人物
Category:ཨ་མེ་རི་ཁའི་གཞས་གཏོང་མཁན།	Category:アメリカ合衆国の歌手
Category:ཝ་ནུའ་ཏུ།	Category:バヌアツ
Category:གསར་འགོད།	Category:報道
Category:ཉི་ཧུང་གི་མཚན་ཉིད་རིག་པ་བ།	Category:日本の哲学者
Category:ཁ་ཏར།	Category:カタール
Category:ཀེ་རེ་གེཛུ་སུཏེན།	Category:キルギス
Category:ཀོ་རི་ཡ།	Category:朝鮮
Category:ཁུ་ཝི་ཐི།	Category:クウェート
Category:ལེ་པ་ནོན།	Category:レバノン
Category:མལ་དིཝེསུ།	Category:モルディブ
Category:བྷར་མ།	Category:ミャンマー
Category:བལ་ཡུལ།	Category:ネパール
Category:ཨོ་མན།	Category:オマーン
Category:སེང་ག་གླིང་།	Category:スリランカ
Category:ཐ་ཇི་ཁེ་སི་ཏན།	Category:タジキスタン
Category:ཐེ་ཝན།	Category:台湾
Category:ཤར་ཏིམོར།	Category:東ティモール
Category:ཏུརཀ་མེ་ནི་སུཏན།	Category:トルクメニスタン
Category:ཨུཛ་བེ་ཀིསུ་ཏན།	Category:ウズベキスタン
Category:ཡི་ནེ་ཁྲེ་ཀྲི་ཨ་རབ་ཨེ་མེ་རེ་ཁྲི།	Category:アラブ首長国連邦
Category:ཧྥ་རན་སིའི་འཁྲབ་སྟོན་པ།	Category:フランスの俳優
Template:User de-4	Template:User de-4
Category:ཡུལ་སྐོར་གྱི་དེབ།	Category:旅行書籍
Category:ཡོ་རོབ་གི་ལོ་རྒྱུས།	Category:ヨーロッパ史
Category:ཀི་རི་བ་ཏི།	Category:キリバス
Category:སན་མ་རི་ནོ།	Category:サンマリノ
Category:རྗོར་ཌན།	Category:ヨルダン
Category:ས་མོའ།	Category:サモア
Category:ཁོ་ས་ཏ་རི་ཁ།	Category:コスタリカ
Category:ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	Category:トリニダード・トバゴ
Category:སུ་རི་ནེམ།	Category:スリナム
Category:ནི་ཀ་ར་གུ་ཝ།	Category:ニカラグア
Category:བྷོསུ་ནིཡ་དང་ཧར་ཛེ་གྷོ་ཝི་ན།	Category:ボスニア・ヘルツェゴビナ
Category:བར་བ་ཌོ་སི།	Category:バルバドス
Category:པ་ན་མ།	Category:パナマ
Category:པ་ར་གུ་ཡེ།	Category:パラグアイ
Category:ཧྥི་ཇི།	Category:フィジー
Category:པ་པུ་འ་ནིའུ་གི་ནེ།	Category:パプアニューギニア
Category:མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	Category:マーシャル諸島共和国
Category:ལི་ཆེ་ཏན་སཏིན།	Category:リヒテンシュタイン
Category:སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	Category:ソロモン諸島
Category:ཧོང་དུ་ར་སི།	Category:ホンジュラス
Category:ཨུ་རུ་གུ་ཡེ།	Category:ウルグアイ
Category:ཨན་ཌོར་ར།	Category:アンドラ
Category:སེན་ཊི་བིན་སེན་ཊི་དང་གི་རི་ན་ཌིན་སི།	Category:セントビンセント・グレナディーン
Category:སེར་བྷི་ཡ།	Category:セルビア
Category:བེ་ལི་ཛི།	Category:ベリーズ
Category:ཨིལ་སལ་ཝ་ཌོར།	Category:エルサルバドル
Category:ཧའི་ཏི།	Category:ハイチ
Category:ཨེ་ཁོའོ་ཌོར།	Category:エクアドル
Category:ཡེ་མེན།	Category:イエメン
Category:པེ་རུ།	Category:ペルー
Category:ཌོ་མི་ནི་ཀ	Category:ドミニカ国
Category:བྷོ་ལི་ཝི་ཡ།	Category:ボリビア
Category:ཨལ་པ་ཉི་ཡ།	Category:アルバニア
Category:མོ་ན་ཁོ།	Category:モナコ
Category:གོམས་སྲོལ།	Category:伝統
Category:ཨ་མེ་རི་ཁའི་བྱང་གླིང་གི་རྒྱལ་ཁབ།	Category:北アメリカの国
Category:པེ་ཅིང་།	Category:北京
Category:སྔོ་ཚལ་རིགས།	Category:野菜
Category:ཤིང་ཏོག་རིགས།	Category:果物
Category:ཡུལ་སྐད།	Category:方言
Category:སངས་རྒྱས།	Category:如来
Category:བྱང་ཆུབ་སེམས་དཔའ།	Category:菩薩
Category:འགྲེམས་སྟོན་ཁང་།	Category:博物館
Category:རྒྱ་མཚོ།	Category:大洋
Category:མན་གྷ།	Category:日本の漫画
Category:ཁ་ཆེའི་ཆོས་ཁང་།	Category:モスク
Category:མིའི་རིགས་དཔྱད་པའི་རིག་པ།	Category:人類学
Category:རྡོ་ཆས་སྤྱོད་པའི་དུས་རབས།	Category:石器時代
Category:ལྕགས་ཆས་སྤྱོད་པའི་དུས་རབས།	Category:鉄器時代
Category:འབྲས་ལྗོངས།	Category:シッキム
Category:ཆིང་རྒྱལ་རབས།	Category:清朝
Category:སུང་རྒྱལ་རབས།	Category:宋朝
Category:མིང་རྒྱལ་རབས།	Category:明朝
Category:ཡོན་རྒྱལ་རབས།	Category:元朝
Category:ཧན་རྒྱལ་རབས།	Category:漢朝
Category:ནམ་དུས།	Category:季節
Category:ལི་ཡོང་།	Category:リヨン
Category:ནུབ་ཕྱོགས་རྒྱལ་ཁབ་ཀྱི་རིག་གནས།	Category:西洋文化
Category:རླུང་འཕྲིན།	Category:ラジオ
Category:གཅེར་​བུ་​བའི་​ཆོས་​ལུགས།	Category:ジャイナ教
Category:ཛོ་​ར་​སིའི་​ཆོས་​ལུགས།	Category:ゾロアスター教
Category:ནུབ་ཕྱོགས་རྒྱལ་ཁབ་ཀྱི་སྒྱུ་རྩལ།	Category:西洋美術史
Category:ཞི་བདེ།	Category:平和
