អាហ្វ្រិក	アフリカ
ទំព័រគំរូ:Redirect2	Template:Redirect2
ចំណាត់ថ្នាក់ក្រុម:សមុទ្រ	Category:海
ទំព័រគំរូ:ISO standards	Template:ISO
ទំព័រគំរូ:FishBase genus	Template:FishBase genus
ទំព័រគំរូ:User2	Template:User2
ទំព័រគំរូ:Other people	Template:Other people
ទំព័រគំរូ:CSS3 multiple column layout	Template:CSS3 multiple column layout
ទំព័រគំរូ:User OS:Microsoft Windows	Template:User OS:Microsoft Windows
ទំព័រគំរូ:FishBase family	Template:FishBase family
ទំព័រគំរូ:IPA-all	Template:IPA-all
ទំព័រគំរូ:Lang-ko	Template:Lang-ko
ទំព័រគំរូ:Lang-it	Template:Lang-it
ចំណាត់ថ្នាក់ក្រុម:User nds	Category:User nds
ទំព័រគំរូ:Sect1911	Template:1911
ចំណាត់ថ្នាក់ក្រុម:User nds-1	Category:User nds-1
ទំព័រគំរូ:Coord/dms2dec	Template:Coord/dms2dec
ជំនួយ:Archiving a talk page	Help:過去ログ
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសប្រេស៊ីល	Template:Country data Brazil
វិគីភីឌា:WikiProject Computing	プロジェクト:コンピュータ
ចំណាត់ថ្នាក់ក្រុម:អង្គការអន្តរជាតិ	Category:国際組織
ទំព័រគំរូ:មេកានិចកង់ទិច	Template:量子力学
ទំព័រគំរូ:Sfn	Template:Sfn
ជំនួយ:សៀវភៅ	Help:ブック
ចំណាត់ថ្នាក់ក្រុម:សមីការឌីផេរ៉ង់ស្យែល	Category:微分方程式
ចំណាត់ថ្នាក់ក្រុម:ខេត្តក្រុងខ្មែរ	Category:カンボジアの州
ទំព័រគំរូ:Lang-lo	Template:Lang-lo
ចំណាត់ថ្នាក់ក្រុម:User zh-min-nan	Category:User zh-min-nan
ទំព័រគំរូ:Release date and age	Template:Start date and age
ចំណាត់ថ្នាក់ក្រុម:User zh-min-nan-3	Category:User zh-min-nan-3
ទំព័រគំរូ:Ms icon	Template:Ms icon
ចំណាត់ថ្នាក់ក្រុម:ឧទ្ធម្ភាគចក្រ	Category:ヘリコプター
ចំណាត់ថ្នាក់ក្រុម:នាយករដ្ឋមន្ត្រី	Category:首相
ចំណាត់ថ្នាក់ក្រុម:វិទ្យាសាស្ត្រសង្គម	Category:社会科学
ឈាន	禅定
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសហុងគ្រី	Template:Country data Hungary
ទំព័រគំរូ:User zh-0	Template:User zh-0
ទំព័រគំរូ:Template reference list	Template:Template reference list
ចំណាត់ថ្នាក់ក្រុម:ឆ្នាំកំណើត ១៩៥១	Category:1951年生
ទំព័រគំរូ:Mdash	Template:Mdash
ទំព័រគំរូ:Zh icon	Template:Zh icon
ទំព័រគំរូ:Advert	Template:宣伝
ទំព័រគំរូ:Infobox government agency	Template:Infobox Government Agency
វិគីភីឌា:Tools	Wikipedia:ツール
ទំព័រគំរូ:User ru-2	Template:User ru-2
ទំព័រគំរូ:Footer ISO 639	Template:Footer ISO 639
ចំណាត់ថ្នាក់ក្រុម:User ru	Category:User ru
ចំណាត់ថ្នាក់ក្រុម:User ru-2	Category:User ru-2
ចំណាត់ថ្នាក់ក្រុម:User ru-3	Category:User ru-3
ចំណាត់ថ្នាក់ក្រុម:វត្តអារាមព្រះពុទ្ធសាសនា	Category:寺
ទំព័រគំរូ:S-reg	Template:S-reg
ទំព័រគំរូ:Apollo program	Template:アポロ計画
ចំណាត់ថ្នាក់ក្រុម:User th-1	Category:User th-1
ចំណាត់ថ្នាក់ក្រុម:User th-N	Category:User th-N
ចំណាត់ថ្នាក់ក្រុម:User tr	Category:User tr
ចំណាត់ថ្នាក់ក្រុម:User tr-N	Category:User tr-N
ទំព័រគំរូ:En icon	Template:En icon
ទំព័រគំរូ:Nay	Template:Non
ទំព័រគំរូ:ISOWEEKDAY	Template:ISOWEEKDAY
ទំព័រគំរូ:Spaces	Template:Spaces
ទំព័រគំរូ:ប្រអប់ភាសា	Template:Lang
ទំព័រគំរូ:FishBase species alt	Template:FishBase species
ទំព័រគំរូ:ទិន្នន័យប្រទេស Russian SFSR	Template:Country data Russian SFSR
ទំព័រគំរូ:In-universe	Template:物語世界内の観点
ជំនួយ:Files	Help:画像などのファイルのアップロードと利用
ទំព័រគំរូ:ទិន្នន័យប្រទេស តួកម៉េនីស្ថាន	Template:Country data Turkmenistan
ទំព័រគំរូ:Str index	Template:Str index
ទំព័រគំរូ:TakeNote	Template:情報
ទំព័រគំរូ:Self	Template:Self
ទំព័រគំរូ:Age in years, months, weeks and days	Template:Age in years, months, weeks and days
ទំព័រគំរូ:Alabama	Template:アラバマ州
ទំព័រគំរូ:Archive list long	Template:Archive list long
ទំព័រគំរូ:កាលពី	Template:As of
ទំព័រគំរូ:ប្រធានបទអាស៊ី	Template:アジアの題材
ទំព័រគំរូ:Copyright by Wikimedia	Template:Copyright by Wikimedia
ទំព័រគំរូ:Auxiliary template common notice	Template:Auxiliary template common notice
ទំព័រគំរូ:Aye	Template:Ok
ទំព័រគំរូ:BLP	Template:Blp
ទំព័រគំរូ:BOTREQ	Template:BOTREQ
ទំព័រគំរូ:Bar percent	Template:Bar percent
ទំព័រគំរូ:Str find	Template:Str find
ទំព័រគំរូ:ប្រធានបទ ព្រះពុទ្ធសាសនា	Template:Buddhism2
ទំព័រគំរូ:C-SPAN	Template:C-SPAN
ចំណាត់ថ្នាក់ក្រុម:គ្រឹះស្ថានឧត្តមសិក្សាសាធារណៈនៅប្រទេសជប៉ុន	Category:日本の国立大学
ទំព័រគំរូ:CURRENTISOYEAR	Template:CURRENTISOYEAR
ទំព័រគំរូ:Fr icon	Template:Fr icon
ទំព័រគំរូ:UF-date-warn	Template:UF-datewarn
ទំព័រគំរូ:Twitter	Template:Twitter
ទំព័រគំរូ:UF-date-part	Template:UF-date-part
ទំព័រគំរូ:Ko icon	Template:Ko icon
ទំព័រគំរូ:Lang-hi	Template:Lang-hi
ទំព័រគំរូ:Chembox header	Template:Chembox header
ទំព័រគំរូ:Convert/-/AoffSoff	Template:Convert/-/AoffSoff
ទំព័រគំរូ:Convert/And0	Template:Convert/And0
ទំព័រគំរូ:Convert/LoutAonDbSoff	Template:Convert/LoutAonDbSoff
ទំព័រគំរូ:Convert/and/AoffSoff	Template:Convert/and/AoffSoff
ទំព័រគំរូ:Convert/bar	Template:Convert/bar
ទំព័រគំរូ:Convert/sqin	Template:Convert/sqin
ទំព័រគំរូ:Convert/x/AoffSoff	Template:Convert/x/AoffSoff
ទំព័រគំរូ:Convert/±/AoffSoff	Template:Convert/±/AoffSoff
ទំព័រគំរូ:Convert/±/AonSoff	Template:Convert/±/AonSoff
ចំណាត់ថ្នាក់ក្រុម:Image with comment templates	Category:コメントアイコンテンプレート
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូសំរាប់ចំនងជើង	Category:タイトル表示テンプレート
ទំព័រគំរូ:EST	Template:EST
ទំព័រគំរូ:Elementbox isotopes stable	Template:Elementbox isotopes stable
ទំព័រគំរូ:Football squad end	Template:サッカークラブチーム選手一覧 終了
ទំព័រគំរូ:IUCNlink	Template:IUCNlink
ទំព័រគំរូ:IAFD name	Template:IAFD name
ទំព័រគំរូ:Weather box/cold	Template:Infobox Weather/cold
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសរុស្ស៊ី	Template:RUS
ទំព័រគំរូ:Fossil range/marker	Template:Fossil range/marker
ទំព័រគំរូ:Five Oceans	Template:五大洋
ទំព័រគំរូ:ICD9	Template:ICD9
ទំព័រគំរូ:ប្រវត្តិសាស្ត្របារាំង	Template:フランスの歴史
ទំព័រគំរូ:MONTH	Template:MONTH
ទំព័រគំរូ:CHL	Template:CHL
ទំព័រគំរូ:ASEAN	Template:ASEAN
ទំព័រគំរូ:Gray's	Template:Gray's
ទំព័រគំរូ:User information templates	Template:User information templates
ទំព័រគំរូ:Campaign	Template:Campaign
ទំព័រគំរូ:ប្រអប់យុទ្ធនាការសង្គ្រាមឥណ្ឌូចិន	Template:Campaignbox インドシナ戦争
ទំព័រគំរូ:Category handler/blacklist	Template:Category handler/blacklist
ទំព័រគំរូ:Central banks	Template:中央銀行
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសស៊ីរី	Template:SYR
ទំព័រគំរូ:Check date	Template:Checkdate
ទំព័រគំរូ:Check talk	Template:Check talk
ទំព័រគំរូ:Check mark templates	Template:Check mark templates
ទំព័រគំរូ:Toolbar	Template:Toolbar
ទំព័រគំរូ:Yesno	Template:Yesno
ទំព័រគំរូ:Side box	Template:Side box
ទំព័រគំរូ:ENG	Template:ENG
ទំព័រគំរូ:Citation	Template:Citation
ទំព័រគំរូ:Citation/core	Template:Citation/core
ទំព័រគំរូ:Expert-subject	Template:修正
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសជាកោះ	Category:島国
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភាសា/family-color	Template:Infobox Language/family-color
ទំព័រគំរូ:Grey	Template:Grey
ទំព័រគំរូ:User la-2	Template:User la-2
ទំព័រគំរូ:User ru-1	Template:User ru-1
ចំណាត់ថ្នាក់ក្រុម:អាំងតេក្រាល	Category:積分法
ទំព័រគំរូ:User tr-1	Template:User tr-1
ទំព័រគំរូ:User zh-1	Template:User zh-1
ទំព័រគំរូ:User zh-2	Template:User zh-2
ទំព័រគំរូ:User zh-3	Template:User zh-3
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូ	Category:各国の物理学者
ទំព័រគំរូ:User zh-4	Template:User zh-4
ចំណាត់ថ្នាក់ក្រុម:គមនាគមន៍នៅប្រទេសជប៉ុន	Category:日本の交通
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសហ្សំប៊ី	Category:ザンビア
ទំព័រគំរូ:Cuisine	Template:料理
ទំព័រគំរូ:ទិន្នន័យប្រទេស យូហ៊្គោស្លាវី	Template:Country data Yugoslavia
ទំព័រគំរូ:Calm talk	Template:Calm talk
ទំព័រគំរូ:Multi-listen end	Template:Multi-listen end
ចំណាត់ថ្នាក់ក្រុម:ការអប់រំនៅប្រទេសជប៉ុន	Category:日本の教育
ចំណាត់ថ្នាក់ក្រុម:ការអប់រំនៅកម្ពុជា	Category:カンボジアの教育
ចំណាត់ថ្នាក់ក្រុម:Disambiguation and redirection templates	Category:曖昧さ回避テンプレート
ការពិភាក្សារបស់អ្នកប្រើប្រាស់:វ័ណថារិទ្ធ/រូបភាពប្រចាំថ្ងៃ	Wikipedia:今日の一枚
ទំព័រគំរូ:Tlrow	Template:Tlrow
ចំណាត់ថ្នាក់ក្រុម:User ja-0	Category:User ja-0
ចំណាត់ថ្នាក់ក្រុម:User nl	Category:User nl
ទំព័រគំរូ:Unbulleted list	Template:Unbulleted list
ចំណាត់ថ្នាក់ក្រុម:User zh-1	Category:User zh-1
ចំណាត់ថ្នាក់ក្រុម:User zh-4	Category:User zh-4
ចំណាត់ថ្នាក់ក្រុម:User zh-3	Category:User zh-3
ចំណាត់ថ្នាក់ក្រុម:User zh-2	Category:User zh-2
ចំណាត់ថ្នាក់ក្រុម:មេកានិច	Category:力学
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអាល្លឺម៉ង់	Category:ドイツの物理学者
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអ៊ីតាលី	Category:イタリアの物理学者
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូបារាំង	Category:フランスの物理学者
ចំណាត់ថ្នាក់ក្រុម:សេវាសាធារណៈ	Category:公共サービス
ទំព័រគំរូ:Tnavbar-header	Template:Tnavbar-header
ចំណាត់ថ្នាក់ក្រុម:ព្រឹត្តិការណ៍កីឡាចំរុះ	Category:総合競技大会
ចំណាត់ថ្នាក់ក្រុម:គណិតវិទូអាល្លឺម៉ង់	Category:ドイツの数学者
ទំព័រគំរូ:ទិន្នន័យប្រទេស វៀតណាមខាងជើង	Template:Country data North Vietnam
ចំណាត់ថ្នាក់ក្រុម:ខេត្តបន្ទាយមានជ័យ	Category:バンテイメンチェイ州
ចំណាត់ថ្នាក់ក្រុម:ចំនួនគត់រឺឡាទីប	Category:整数
ទំព័រគំរូ:V	Template:V
ចំណាត់ថ្នាក់ក្រុម:ស៊ីហ្គេម	Category:東南アジア競技大会
ចំណាត់ថ្នាក់ក្រុម:ត្រីកោណមាត្រ	Category:三角法
ចំណាត់ថ្នាក់ក្រុម:ទ្រឹស្តីបទ	Category:定理
ចំណាត់ថ្នាក់ក្រុម:អាកាសយានដ្ឋាន	Category:空港
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអាមេរិក	Category:アメリカ合衆国の物理学者
ចំណាត់ថ្នាក់ក្រុម:រូបវិទូអង់គ្លេស	Category:イングランドの物理学者
ចំណាត់ថ្នាក់ក្រុម:អ្នកនិពន្ធល្បី	Category:カンボジアの著作家
ចំណាត់ថ្នាក់ក្រុម:នាយករដ្ឋមន្ត្រីសិង្ហបុរី	Category:シンガポールの首相
ចំណាត់ថ្នាក់ក្រុម:រង្វាន់ណូបែល	Category:ノーベル賞
ចំណាត់ថ្នាក់ក្រុម:ប្រទេសកម្ពុជា	Category:カンボジア
ចំណាត់ថ្នាក់ក្រុម:អ្នកនយោបាយប៉ាគីស្ថាន	Category:パキスタンの政治家
ទំព័រគំរូ:Lang-hy	Template:Lang-hy
ទំព័រគំរូ:Tlu	Template:Tlu
ចំណាត់ថ្នាក់ក្រុម:អ្នកនយោបាយខ្មែរ	Category:カンボジアの政治家
ចំណាត់ថ្នាក់ក្រុម:អ្នករុករកជនជាតិបារាំង	Category:フランスの探検家
ចំណាត់ថ្នាក់ក្រុម:ស្រីលង្កា	Category:スリランカ
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូ រង្វាន់ណូបែល	Category:ノーベル賞のテンプレート
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូឈ្មោះភាសា	Category:多言語支援テンプレート
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូក្នុងរូបវិទ្យា	Category:物理学関連のテンプレート
ទំព័រគំរូ:ISO 639 name	Template:ISO639言語名
វិគីភីឌា:ត្រូវការអំណះអំណាង	Wikipedia:「要出典」をクリックされた方へ
ទំព័រគំរូ:FeaturedPicture	Template:秀逸画像
ទំព័រគំរូ:Ed	Template:Ed
ទំព័រគំរូ:ទិន្នន័យប្រទេស Wales	Template:Country data Wales
ទំព័រគំរូ:MONTHABBREV	Template:MONTHABBREVEN
ចំណាត់ថ្នាក់ក្រុម:អុនសេន	Category:温泉
ចំណាត់ថ្នាក់ក្រុម:ពហុធា	Category:多項式
ចំណាត់ថ្នាក់ក្រុម:អនុគមន៍	Category:関数
ចំណាត់ថ្នាក់ក្រុម:ភាសាជប៉ុន	Category:日本語
ចំណាត់ថ្នាក់ក្រុម:មធ្យម	Category:平均
ចំណាត់ថ្នាក់ក្រុម:ចតុកោណ	Category:四角形
ចំណាត់ថ្នាក់ក្រុម:ត្រីកោណ	Category:三角形
ចំណាត់ថ្នាក់ក្រុម:សំភារៈ​សំណង់	Category:建築材料
ទំព័រគំរូ:S-off	Template:S-off
ចំណាត់ថ្នាក់ក្រុម:សមីការ	Category:方程式
ចំណាត់ថ្នាក់ក្រុម:ស្ពាននៅប្រទេសជប៉ុន	Category:日本の橋
ចំណាត់ថ្នាក់ក្រុម:សិទ្ធិ	Category:権利
ទំព័រគំរូ:Hexadecimal	Template:Hexadecimal
ចំណាត់ថ្នាក់ក្រុម:វិភាគគណិតវិទ្យា	Category:解析学
ចំណាត់ថ្នាក់ក្រុម:វិសមភាព	Category:不等式
ចំណាត់ថ្នាក់ក្រុម:ឧទ្យានជាតិ	Category:国立公園
ចំណាត់ថ្នាក់ក្រុម:កោះស៊ូម៉ាត្រា	Category:スマトラ島
ចំណាត់ថ្នាក់ក្រុម:មីក្រូសេដ្ឋកិច្ច	Category:ミクロ経済学
ចំណាត់ថ្នាក់ក្រុម:HTML	Category:HTML
ចំណាត់ថ្នាក់ក្រុម:អាស៊ីហ្គេម	Category:アジア競技大会
ចំណាត់ថ្នាក់ក្រុម:អ៊ីសាក់ ញូតុន	Category:アイザック・ニュートン
ចំណាត់ថ្នាក់ក្រុម:អាកាសចរណ៍	Category:交通
ចំណាត់ថ្នាក់ក្រុម:គណិតវិទ្យាថ្នាក់ដំបូង	Category:初等数学
ចំណាត់ថ្នាក់ក្រុម:ខេត្តសៀមរាប	Category:シェムリアップ州
ចំណាត់ថ្នាក់ក្រុម:ទ្រឹស្តីបទលេខ	Category:数論
ទំព័រគំរូ:ប្រអប់ព័ត៌មាន ភាសា	Template:Infobox Language
ទំព័រគំរូ:Wikiversity	Template:Wikiversity
ទំព័រគំរូ:Statistics	Template:統計学
ចំណាត់ថ្នាក់ក្រុម:ភាសាអ៊ីតាលី	Category:イタリア語
ចំណាត់ថ្នាក់ក្រុម:ភាសាអេស្ប៉ាញ	Category:スペイン語
ចំណាត់ថ្នាក់ក្រុម:រថក្រោះ	Category:戦車
ទំព័រគំរូ:គោលការណ៍មូលដ្ឋានរបស់វិគីភីឌា	Template:Wikipedia原理
ទំព័រគំរូ:Lists by country	Template:国の指標
ចំណាត់ថ្នាក់ក្រុម:កោះរបស់ឥណ្ឌូនេស៊ី	Category:インドネシアの島
ទំព័រគំរូ:WPBannerMeta	Template:WPBannerMeta
ទំព័រគំរូ:Cross	Template:×
ខេត្តលង់ហោរ	ヴィンロン省
ចំណាត់ថ្នាក់ក្រុម:ភ្នំពេញ	Category:プノンペン
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូសំរាប់ទង់ជាតិ	Category:各国の国旗と国名テンプレート
ចំណាត់ថ្នាក់ក្រុម:ឧទ្យានជាតិនៃព្រះរាជាណាចក្រកម្ពុជា	Category:カンボジアの国立公園
ទំព័រគំរូ:CountryAbbr	Template:CountryAbbr
ទំព័រគំរូ:Split	Template:記事分割
ទំព័រគំរូ:រូបវិទ្យា	Template:Physics-footer
ចំណាត់ថ្នាក់ក្រុម:ធរណីមាត្រអ៊ីពែបូលីក	Category:双曲幾何学
វិគីភីឌា:ឯកសារកម្មទំព័រគំរូ	Help:テンプレートの説明文
ទំព័រគំរូ:CompactTOC8	Template:TOC
ទំព័រគំរូ:Template sandbox notice	Template:Template sandbox notice
ទំព័រគំរូ:Dmbox	Template:Dmbox
ទំព័រគំរូ:Hydrogen compounds	Template:水素の化合物
ទំព័រគំរូ:Image frame	Template:Imageframe
ទំព័រគំរូ:Information page	Template:Infopage
ទំព័រគំរូ:Sec link	Template:Sec link
តូក្យូ	東京
ចំណាត់ថ្នាក់ក្រុម:ក្រលាផ្ទៃ	Category:面積
ទំព័រគំរូ:File title	Template:File title
ទំព័រគំរូ:WPFCevent	Template:Infobox former country/event
ទំព័រគំរូ:Infobox broadcasting network	Template:Infobox broadcasting network
ទំព័រគំរូ:JD	Template:JD
ទំព័រគំរូ:CURRENTMINUTE	Template:CURRENTMINUTE
ទំព័រគំរូ:Substituted	Template:Subst only
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសអ៊ូបេគីស្ថាន	Template:UZB
ជំរំជនភៀសខ្លួន សាយធូ	サイト2難民キャンプ
ទំព័រគំរូ:Question	Template:問
ទំព័រគំរូ:ខេត្ត-រាជធានីកម្ពុជា	Template:カンボジアの地方行政区画
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសអេស្ប៉ាញ	Template:Country data Spain
ទំព័រគំរូ:Usage of IPA templates	Template:Usage of IPA templates
ទំព័រគំរូ:Pad	Template:Pad
ទំព័រគំរូ:If pagename	Template:If pagename
ទំព័រគំរូ:ទិន្នន័យប្រទេស កាណាដា	Template:Country data Canada
ទំព័រគំរូ:Class	Template:Class
ទំព័រគំរូ:Class mask	Template:Class mask
ទំព័រគំរូ:Collapsible sections option	Template:Collapsible sections option
ទំព័រគំរូ:Column-rule	Template:Column-rule
ទំព័រគំរូ:Consensus	Template:合意内容
ទំព័រគំរូ:Conservation status	Template:Conservation status
ទំព័រគំរូ:Convert/C-change	Template:Convert/C-change
ទំព័រគំរូ:Convert/Dual/LoffAoffDxSoffT	Template:Convert/Dual/LoffAoffDxSoffT
ទំព័រគំរូ:Convert/LoffAoffDorSoff	Template:Convert/LoffAoffDorSoff
ទំព័រគំរូ:Convert/and/AonSoff	Template:Convert/and/AonSoff
ទំព័រគំរូ:Convert/nm	Template:Convert/nm
ទំព័រគំរូ:Convert/numdisp/frac	Template:Convert/numdisp/frac
ទំព័រគំរូ:Convert/numdisp/frac1	Template:Convert/numdisp/frac1
ទំព័រគំរូ:Convert/x/AonSoff	Template:Convert/x/AonSoff
ទំព័រគំរូ:Cookbook	Template:Cookbook
ទំព័រគំរូ:Coord/prec dec	Template:Coord/prec dec
ទំព័រគំរូ:Intellectual property	Template:知財権
ទំព័រគំរូ:ទិន្នន័យប្រទេស ម៉ាល់ឌីវ	Template:Country data Maldives
ទំព័រគំរូ:ទិន្នន័យ នៃប្រទេសសិង្ហបុរី	Template:Country data Singapore
ទំព័រគំរូ:ទិន្នន័យប្រទេស យេម៉ែន	Template:Country data Yemen
ទំព័រគំរូ:Lang-pl	Template:Lang-pl
ទំព័រគំរូ:DANFS	Template:DANFS
ទំព័រគំរូ:Unreliable sources	Template:精度
ទំព័រគំរូ:Str right	Template:Str right
ទំព័រគំរូ:Diff	Template:差分
ទំព័រគំរូ:ប្រវត្តិសាស្ត្រវៀតណាម	Template:ベトナムの歴史
ចំណាត់ថ្នាក់ក្រុម:Protection templates	Category:保護テンプレート
ចំណាត់ថ្នាក់ក្រុម:ភាសាអង់គ្លេស	Category:英語
ទំព័រគំរូ:FOSS	Template:FOSS
ទំព័រគំរូ:សង្គមនិយមតាមរដ្ឋ	Template:各国の社会主義
ទំព័រគំរូ:G8	Template:G8
ទំព័រគំរូ:សំលៀកបំពាក់	Template:被服
ទំព័រគំរូ:Technology	Template:テクノロジー
ទំព័រគំរូ:Diatomicelements	Template:二原子分子
ទំព័រគំរូ:Nature nav	Template:自然
ទំព័រគំរូ:Natural sciences-footer	Template:Natural sciences-footer
ទំព័រគំរូ:BranchesofChemistry	Template:化学
ទំព័រគំរូ:Burmese script	Template:ビルマ系文字
ទំព័រគំរូ:User Alternate Acct	Template:User alternate acct
ទំព័រគំរូ:Infobox country Olympics	Template:Infobox オリンピック選手団
ទំព័រគំរូ:ប្រអប់យុទ្ធនាការ សង្គ្រាមវៀតណាម	Template:Campaignbox ベトナム戦争
ទំព័រគំរូ:ជ័យលាភីរង្វាន់ណូបែល ផ្នែកគីមីវិទ្យា ឆ្នាំ ១៩០១-១៩២៥	Template:ノーベル化学賞受賞者 (1901年-1925年)
ទំព័រគំរូ:Microeconomics	Template:ミクロ経済学
ទំព័រគំរូ:User vi-2	Template:User vi-2
ទំព័រគំរូ:User vi-1	Template:User vi-1
ទំព័រគំរូ:User zh-min-nan-4	Template:User zh-min-nan-4
ទំព័រគំរូ:User zh-min-nan-2	Template:User zh-min-nan-2
ទំព័រគំរូ:User id-2	Template:User id-2
ទំព័រគំរូ:UF-hcard-geo	Template:UF-hcard-geo
ទំព័រគំរូ:PDB	Template:PDB
ទំព័រគំរូ:Template shortcut	Template:Template shortcut
ទំព័រគំរូ:OMIM2	Template:OMIM2
ទំព័រគំរូ:Nav book tool	Template:Nav book tool
ទំព័រគំរូ:Likely	Template:おそらく
ទំព័រគំរូ:Lang-th	Template:Lang-th
ទំព័រគំរូ:Lang-sq	Template:Lang-sq
ទំព័រគំរូ:Lang-pi	Template:Lang-pi
ទំព័រគំរូ:Lang-pa	Template:Lang-pa
ទំព័រគំរូ:Lang-es	Template:Lang-es
ទំព័រគំរូ:Lang-ca	Template:Lang-ca
ទំព័រគំរូ:Lang-bo	Template:Lang-bo
ទំព័រគំរូ:Lang-az	Template:Lang-az
ទំព័រគំរូ:Km icon	Template:Km icon
ទំព័រគំរូ:In5	Template:In5
ទំព័រគំរូ:ISO 3166	Template:ISO 3166
ទំព័រគំរូ:Getalias	Template:Getalias
ទំព័រគំរូ:DiseasesDB2	Template:DiseasesDB2
ទំព័រគំរូ:CURRENTWEEKDATE	Template:ISOWEEKDATE
ទំព័រគំរូ:CURRENTISOWEEKDAY	Template:CURRENTISOWEEKDAY
ចំណាត់ថ្នាក់ក្រុម:នាមត្រូលជនជាតិជប៉ុន	Category:日本語の姓
ចំណាត់ថ្នាក់ក្រុម:ក្រុមហ៊ុនអាកាសចរណ៍	Category:旅客機
ចំណាត់ថ្នាក់ក្រុម:ពិជគណិត	Category:代数学
ចំណាត់ថ្នាក់ក្រុម:មុំ	Category:角度
ចំណាត់ថ្នាក់ក្រុម:នព្វន្ធ	Category:算術
ចំណាត់ថ្នាក់ក្រុម:ស្ពាននៅអាស៊ី	Category:アジアの橋
ចំណាត់ថ្នាក់ក្រុម:អត្ថបទខ្លីមិនពេញលេញ អំពីព្រះពុទ្ធសាសនា	Category:仏教関連のスタブ項目
ទំព័រគំរូ:Multicol	Template:Multicol
សិទ្ធិកុមារ	子どもの権利
ចំណាត់ថ្នាក់ក្រុម:អាស៊ីខាងកើត	Category:東アジア
ចំណាត់ថ្នាក់ក្រុម:អេឡិចត្រូម៉ាញ៉េទិច	Category:電磁気学
ទំព័រគំរូ:Lang-mn	Template:Lang-mn
ទំព័រគំរូ:Lang-sa	Template:Lang-sa
ទំព័រគំរូ:Lang-sv	Template:Lang-sv
វិគីភីឌា:វិគីគម្រោងប្រវត្តិសាស្ត្រ	プロジェクト:歴史
វិគីភីឌា:វិគីគម្រោង សាកលវិទ្យាល័យ	プロジェクト:大学
ទំព័រគំរូ:Precision/tz	Template:Precision/tz
ទំព័រគំរូ:Precision/tz/1	Template:Precision/tz/1
ទំព័រគំរូ:Lts	Template:Lts
ទំព័រគំរូ:Coord how-to	Template:Coord how-to
ចំណាត់ថ្នាក់ក្រុម:បណ្ណាល័យ	Category:図書館
ចំណាត់ថ្នាក់ក្រុម:មេរថក្រោះសមរភូមិ	Category:主力戦車
ជំនួយ:មាតិកា/សេចក្តីផ្តើម	Help:目次 相談と質問
ជំនួយ:ជំនួយពហុភាសា (ព្រាហ្ម)	Help:多言語対応 (インド系文字)
ចំណាត់ថ្នាក់ក្រុម:យន្តហោះយោធាគ្រូបណ្តុះបណ្តាល	Category:練習機
ទំព័រគំរូ:Tech-stub	Template:Tech-stub
ទំព័រគំរូ:ទិន្នន័យ​នៃប្រទេសម៉ុងហ្គោល	Template:MNG
ទំព័រគំរូ:Pronunciation	Template:発音
ចំណាត់ថ្នាក់ក្រុម:Subtemplates of Template Convert	Category:Subtemplates of Template Convert
ចំណាត់ថ្នាក់ក្រុម:ទំព័រគំរូTOC	Category:目次テンプレート
ទំព័រគំរូ:Image label begin	Template:Image label begin
ចំណាត់ថ្នាក់ក្រុម:រង្វង់និងស៊្វែរ	Category:円 (数学)
ទំព័រគំរូ:Bg icon	Template:Bg icon
ចំណាត់ថ្នាក់ក្រុម:កងកម្លាំងអាកាស	Category:空軍
ចំណាត់ថ្នាក់ក្រុម:សាកលវិទ្យាល័យនៅប្រទេសជប៉ុន	Category:日本の大学
វិគីភីឌា:សារ ទំព័រគំរូ/បោសសំអាត	Wikipedia:Template メッセージの一覧/問題のある記事
ទំព័រគំរូ:GUAM countries	Template:GUAM
ចំណាត់ថ្នាក់ក្រុម:វប្បធម៌ខ្មែរ	Category:カンボジアの文化
ទំព័រគំរូ:Infobox language/IPA notice	Template:Infobox Language/IPA notice
ទំព័រគំរូ:Ombox/core	Template:Ombox/core
ទំព័រគំរូ:US$	Template:US$
ទំព័រគំរូ:IPA-lo	Template:IPA-lo
ទំព័រគំរូ:Geodis	Template:地名の曖昧さ回避
ចំណាត់ថ្នាក់ក្រុម:User en-1	Category:User en-1
