阿非利加洲	アフリカ
Category:河北省	Category:河北省
Category:黑龍江省	Category:黒龍江省
Category:湖北省	Category:湖北省
Category:地理	Category:自然地理学
Category:水	Category:水
Category:美洲史	Category:アメリカ大陸史
三島毅	三島中洲
鶴峰戊申	鶴峯戊申
Template:提案	Template:Proposed
Category:User nan	Category:User zh-min-nan
Category:User nan-1	Category:User zh-min-nan-1
Category:User nan-N	Category:User zh-min-nan-N
Category:地理學	Category:地理学の分野
Category:社會科學	Category:社会科学
Template:!w	Template:!wrap
Template:Zh	Template:Zh icon
Category:江戶書	Category:江戸時代
Category:室町書	Category:室町時代
Category:鎌倉書	Category:鎌倉時代
Category:平安書	Category:平安時代
Category:奈良書	Category:奈良時代
Category:飛鳥書	Category:飛鳥時代
Category:古墳書	Category:古墳時代
Category:繩文書	Category:縄文時代
Category:戰國書	Category:戦国時代 (日本)
Template:User ja-2	Template:User ja-2
Template:User ko-2	Template:User ko-2
Template:User ko-1	Template:User ko-1
Template:User ru-2	Template:User ru-2
Template:天王星之衛星	Template:天王星の衛星
Category:User ru	Category:User ru
Category:User ru-2	Category:User ru-2
Category:User ryu-1	Category:User ryu-1
Category:User th-1	Category:User th-1
Category:User yue-1	Category:User zh-yue-1
Category:User yue-N	Category:User zh-yue-N
Template:En	Template:En icon
Category:山東省	Category:山東省
Category:雲南省	Category:雲南省
Category:浙江省	Category:浙江省
Category:青海省	Category:青海省
Category:河南省	Category:河南省
Category:湖南省	Category:湖南省
Template:Lang	Template:Lang
Category:日本文學	Category:日本文学
Category:群學	Category:社会学
Category:臺南市	Category:台南市
Template:2images	Template:Double image aside
Category:三世紀	Category:3世紀
Category:十七世紀	Category:17世紀
Category:七世紀	Category:7世紀
Category:人	Category:人間
Category:東羅馬本紀	Category:東ローマ皇帝
Category:門	Category:ウィキポータル
Template:Ko	Template:Ko icon
Template:粒子	Template:粒子の一覧
Template:Main	Template:Main
Category:太平天國書	Category:太平天国
Template:User gan	Template:User gan
新春	旧正月
Template:Fossil range/marker	Template:Fossil range/marker
Category:習俗	Category:習俗
Category:風	Category:風
Template:PD-self	Template:PD-self
Category:中華地方志	Category:中国の地方区分
Category:鎌倉武家	Category:鎌倉幕府の征夷大将軍
Category:羅馬共和書	Category:共和政ローマ
Category:希臘史	Category:ギリシャの歴史
Category:澳大利亞史	Category:オーストラリアの歴史
Category:北韓紀事	Category:朝鮮民主主義人民共和国の歴史
Category:加拿大史	Category:カナダの歴史
Category:東南亞史	Category:東南アジア史
長野縣短期大學	長野県短期大学
Template:User ko	Template:User ko
Template:User ko-0	Template:User ko-0
Template:User ru-1	Template:User ru-1
Template:User zh-1	Template:User zh-1
Template:User zh-2	Template:User zh-2
Template:User zh-3	Template:User zh-3
Template:User zh-4	Template:User zh-4
Category:中華民國行政區	Category:中華民国の行政区分
Category:俄羅斯史	Category:ロシアの歴史
Category:中華人民共和國紀事	Category:中華人民共和国の歴史
Template:Multi-listen end	Template:Multi-listen end
Category:羅馬皇帝本紀	Category:ローマ皇帝
維基大典:維基聊齋	Wikipedia:珍項目
Category:戲劇	Category:演劇
Category:釋義模板	Category:曖昧さ回避テンプレート
維基大典:每日圖繪	Wikipedia:今日の一枚
Category:蒙古可汗本紀	Category:大ハーン
Template:中立	Template:ニュートラル
Category:中東史	Category:西アジア史
Category:User zh-1	Category:User zh-1
Category:User zh-4	Category:User zh-4
Category:User zh-3	Category:User zh-3
Category:User zh-2	Category:User zh-2
Category:刑法	Category:刑法
Category:酸	Category:酸
Category:節氣	Category:節気
Category:民國總統世家	Category:中華民国総統
Category:算法	Category:アルゴリズム
Category:一世紀	Category:1世紀
Category:十四世紀	Category:14世紀
Category:二世紀	Category:2世紀
Category:四世紀	Category:4世紀
Category:十八世紀	Category:18世紀
Category:八世紀	Category:8世紀
Category:孫吳列傳	Category:呉の人物
Category:漢后紀	Category:漢の皇后
Category:唐本紀	Category:唐の皇帝
Category:明本紀	Category:明の皇帝
Category:整數	Category:整数
Category:蜀漢列傳	Category:蜀漢の人物
Category:香港列傳	Category:香港の人物
Category:藤原氏	Category:藤原氏
Category:印歐語系	Category:インド・ヨーロッパ語族
Category:量子場論	Category:場の量子論
Category:泰國銀行	Category:タイの銀行
Category:化學元素	Category:元素
Category:日本小說	Category:日本の小説
Template:中國世界遺產	Template:中華人民共和国の世界遺産
Category:姓氏	Category:姓
Category:朝鮮民主主義人民共和國書	Category:朝鮮民主主義人民共和国
Category:中華人民共和國教育	Category:中華人民共和国の教育
Category:英國史	Category:イギリスの歴史
Category:中華史	Category:中国の歴史
Category:臺灣省教育	Category:台湾の教育
Category:民國列傳	Category:中華民国の人物
Category:新聞學	Category:報道
Category:前二世紀	Category:紀元前2世紀
Category:前三世紀	Category:紀元前3世紀
Category:越南地理志	Category:ベトナムの地理
Category:高句麗書	Category:高句麗
Category:渤海書	Category:渤海国
Category:東寧書	Category:鄭氏政権
Category:琉球志	Category:琉球王国
Category:蘇聯書	Category:ソビエト社会主義共和国連邦
Category:古羅馬史	Category:古代ローマ
Category:高麗書	Category:高麗
Category:百濟書	Category:百済
Category:朝鮮書	Category:李氏朝鮮
Category:滿洲國志	Category:満州国
Category:前一世紀	Category:紀元前1世紀
Category:新羅書	Category:新羅
Template:Ed	Template:Ed
Category:鎌倉列傳	Category:鎌倉時代の人物
Category:高麗列傳	Category:高麗の人物
Category:明列傳	Category:明代の人物
Category:朝鮮列傳	Category:朝鮮時代の人物
Category:江戶列傳	Category:江戸時代の人物
Category:平安列傳	Category:平安時代の人物
Category:清列傳	Category:清朝の人物
Category:秦列傳	Category:秦代の人物
Category:漢列傳	Category:漢代の人物
Category:元列傳	Category:元代の人物
Category:唐列傳	Category:唐代の人物
Category:反物質	Category:反物質
Category:美國總統世家	Category:アメリカ合衆国の大統領
Category:歐洲史	Category:ヨーロッパ史
Category:魚	Category:魚類
Category:北京市	Category:北京
Category:果	Category:果物
九條教家	九条教家
Category:天候學	Category:気候学
Category:亞洲地理志	Category:アジアの地理
Category:人類學	Category:人類学
Category:五代書	Category:五代十国
Category:作業系統	Category:オペレーティングシステム
Category:金書	Category:金朝
Category:清書	Category:清朝
Category:宋書	Category:宋朝
Category:明書	Category:明朝
Category:元書	Category:元朝
Category:隋書	Category:隋朝
Category:遼書	Category:遼朝
Category:高句麗本紀	Category:高句麗王
Category:阮氏大南書	Category:阮朝
Category:天演	Category:進化
燕帖木兒	エル・テムル
Category:動物	Category:動物
Category:俄羅斯加盟共和國	Category:ロシア連邦の共和国
Category:三國書	Category:三国志
Category:涼宮春日	Category:涼宮ハルヒシリーズ
Category:兵器	Category:武器
馮諼	馮驩
Category:紀年	Category:年代学
陸喜	陸喜
Category:中華史誌	Category:中国の歴史書
Category:弦論	Category:弦理論
謝惠連	謝恵連
Category:數學分析	Category:解析学
Category:樂器	Category:楽器
胡沖	胡沖
Category:漢字	Category:漢字
Category:氣象	Category:気象学
Category:實驗儀器	Category:実験器具
Category:香港	Category:香港
Category:PS2遊戲	Category:PlayStation 2用ソフト
Category:高雄市	Category:高雄市
Category:鹽	Category:塩
Category:廣西壯族自治區	Category:広西チワン族自治区
Category:衣	Category:衣類
Category:上海市	Category:上海
Category:龜	Category:カメ
Category:節日	Category:祭
Category:臺北市	Category:台北市
Category:書體	Category:書体
Category:古希臘史	Category:古代ギリシア
Category:周本紀	Category:周の王
Category:交通	Category:交通
Category:刑	Category:刑罰
Category:玩	Category:玩具
Category:數趣	Category:数学パズル
Category:IE用者	Category:Internet Explorerユーザー
Category:清本紀	Category:清の皇帝
Category:漢本紀	Category:漢の皇帝
Category:群論	Category:群論
Category:數論	Category:数論
Category:拓撲學	Category:位相幾何学
Category:疇人	Category:数学者
田儋	田タン
Category:韓國維基人	Category:大韓民国在住のウィキペディアン
渾天說	渾天説
樊宏	樊宏
臺中港	台中港
Category:宋列傳	Category:宋代の人物
Category:雕塑	Category:彫刻
Category:大韓民國大統領世家	Category:韓国の大統領
Category:漢語	Category:中国語
Category:澳門	Category:マカオ
Category:日本文	Category:日本語の表記
孫楷	孫楷
孫松	孫松
吳範	呉範
劉惇	劉惇
公子	公子
Category:雅樂	Category:雅楽
近體詩	近体詩
Category:日本史誌	Category:日本の歴史書
Category:日本漢字	Category:日本の漢字
Category:塔	Category:塔
貢糖	貢糖
便利店	コンビニエンスストア
Category:無錫市	Category:無錫
日本同音通假	同音の漢字による書きかえ
Category:中華人民共和國書	Category:中華人民共和国
Category:衛星	Category:衛星
Category:數理物理	Category:数理物理学
Category:數學史	Category:数学史
Category:目錄學	Category:書誌学
Category:飛鳥列傳	Category:飛鳥時代の人物
Category:水滸傳	Category:水滸伝
Category:日本世家	Category:日本の氏族
順天 (釋義)	順天
清風學園	清風中学校・高等学校
漢趙共王	劉恢
夏至	夏至
Template:依余之見	Template:コメント
椙山女學園大學短期大學部	椙山女学園大学短期大学部
漢王國表	前漢の諸侯王一覧
中國 (釋義)	チャイナ
Category:戰國列傳	Category:戦国時代の人物 (日本)
門:數學	Portal:数学
Category:鮮卑書	Category:鮮卑
燕 (釋義)	燕
Category:隋列傳	Category:隋代の人物
Category:五代列傳	Category:五代十国の人物
Category:三國人	Category:三国志の登場人物
Category:北韓本紀	Category:朝鮮民主主義人民共和国の国家元首
建康 (東漢)	建康 (漢)
光武	光武 (元号)
薛珝	薛ク
正字通	正字通
Category:雲林縣	Category:雲林県
Category:武漢市	Category:武漢
晉 (釋義)	晋
Category:美國維基人	Category:アメリカ合衆国在住のウィキペディアン
Category:臺灣維基人	Category:台湾在住のウィキペディアン
Category:香港維基人	Category:香港在住のウィキペディアン
Template:User yue-4	Template:User zh-yue-4
Template:User yue-2	Template:User zh-yue-2
Template:User nan-4	Template:User zh-min-nan-4
Template:User nan-2	Template:User zh-min-nan-2
Template:User lzh-4	Template:User zh-classical-4
Template:User lzh-1	Template:User zh-classical-1
Template:User lzh-0	Template:User zh-classical-0
Template:User lzh	Template:User zh-classical
Category:西夏書	Category:西夏
大韓	大韓
Template:User lzh-2	Template:User zh-classical-2
候文	候文
割腕	リストカット
漢文訓讀	訓読
分野占	十二次
敦康親王	敦康親王
漢中郡	漢中郡
漢荊王賈	劉賈
子游	子游
仲弓	仲弓
陸景	陸景
二毛作	二毛作
Template:Sister	Template:Sister
Category:代數	Category:代数学
Category:User zh-wuu-1	Category:User zh-wuu-1
Category:雅典列傳	Category:古代アテナイの人物
Category:雅典書	Category:アテナイ
Category:胴體	Category:胴体
Category:足利將軍世家	Category:室町幕府の征夷大将軍
Category:鹼	Category:塩基
Category:橋	Category:橋
Category:占城書	Category:チャンパ王国
Category:嘉義市	Category:嘉義市
Category:嘉義縣	Category:嘉義県
Category:矮行星	Category:準惑星
Category:地震	Category:地震
Category:東正教會	Category:東方正教会
Category:香港教育	Category:香港の教育
Category:版權	Category:著作権法
Category:世界語	Category:エスペラント
Template:Lang-zh	Template:Lang-zh
Category:高句麗列傳	Category:高句麗の人物
Category:語法格	Category:格
Category:杭州市	Category:杭州
Category:東亞史	Category:東アジア史
Category:南亞史	Category:南アジア史
Category:新竹縣	Category:新竹県
Category:內蒙古自治區	Category:内モンゴル自治区
Category:日本年號	Category:日本の元号
Category:嘉興市	Category:嘉興
Category:西遊記	Category:西遊記
Category:基隆市	Category:基隆市
Category:琉球本紀	Category:琉球の君主
Category:蘇州市	Category:蘇州
Category:律史	Category:法制史
Category:法家	Category:法家
門:化學	Portal:化学
Category:黎氏大越書	Category:黎朝
Category:秦書	Category:秦朝
Category:苗栗縣	Category:苗栗県
Category:太平天國列傳	Category:太平天国の人物
Category:軍事	Category:軍事学
Category:萌	Category:萌え
Category:中華民國書	Category:中華民国
Category:南投縣	Category:南投県
Category:泰國報章	Category:タイの新聞
Category:阮氏大南本紀	Category:阮朝の君主
Category:有機化學	Category:有機化学
Category:琉球列傳	Category:琉球王国の人物
Category:中華人民共和國中學	Category:中華人民共和国の中学校
Category:香港中學	Category:香港の中学校
Category:船舶	Category:船
Category:奈良列傳	Category:奈良時代の人物
Category:屏東縣	Category:屏東県
達奚珣	達奚ジュン
Category:衡器	Category:計測機器
Category:兵書	Category:軍事に関する書籍
Category:唐書	Category:唐朝
Category:臺中市	Category:台中市
Category:桃園市	Category:桃園市
Category:電話	Category:電話
Category:音節文字	Category:音節文字
Category:匈奴本紀	Category:匈奴の単于
Category:阮氏大越書	Category:西山朝
Category:新北市	Category:新北市
Category:臺灣省大專院校	Category:台湾の大学
Category:User cdo	Category:User cdo
Category:User cdo-N	Category:User cdo-N
Category:德川將軍世家	Category:江戸幕府の征夷大将軍
Category:應用科學	Category:応用科学
Category:彰化縣	Category:彰化県
Category:輿圖學	Category:地図学
Category:西安市	Category:西安
Template:Image label begin	Template:Image label begin
Category:儒家	Category:儒教
Category:民法	Category:民法
Category:李代數	Category:リー環論
Template:Sprotected2	Template:保護運用
Category:寧波市	Category:寧波
Template:Babels	Template:Babels
Category:廿四史	Category:二十四史
Category:User cmn	Category:User zh-cmn
Category:在修之文	Category:編集中の記事
Category:方位	Category:方位
東緝事廠	東廠
Category:中華年號	Category:中国の元号
Category:中華小說	Category:中国の小説
Category:小說	Category:小説
Category:京兆杜氏	Category:京兆杜氏
Category:越南年號	Category:ベトナムの元号
Category:劉氏	Category:劉氏
Category:五代本紀	Category:五代の皇帝
Category:年號	Category:元号
Category:博陵崔氏	Category:博陵崔氏
Category:古墳列傳	Category:古墳時代の人物
Category:日治臺灣列傳	Category:日本統治時代の台湾の人物
Category:唐年號	Category:唐の元号
Category:四時	Category:四季
Category:吳郡陸氏	Category:呉郡陸氏
Category:夏侯氏	Category:夏侯氏
Category:太原王氏	Category:太原王氏
Category:宋年號	Category:宋の元号
Category:黎氏大越本紀	Category:後黎朝の君主
Category:非禮	Category:性の文化
Category:成語	Category:故事成語
Category:明年號	Category:明の元号
Category:韓國年號	Category:朝鮮の元号
Category:朝鮮史誌	Category:朝鮮の歴史書
Category:User en-1	Category:User en-1
Category:User de-1	Category:User de-1
Category:語言標示模	Category:言語アイコン
Category:意音文字	Category:表音文字
Category:清年號	Category:清の元号
Category:非洲史	Category:アフリカ史
Category:汝南袁氏	Category:汝南袁氏
Category:鮮卑世家	Category:鮮卑の大人
Category:國憲	Category:憲法
Category:史學	Category:歴史学
Category:河東薛氏	Category:河東薛氏
Category:程氏	Category:程氏
裴世清	裴世清
埃博拉	エボラウイルス属
Template:LPR	Template:LPR
Template:PD-author	Template:PD-author
Category:清河崔氏	Category:清河崔氏
宋 (釋義)	宋
春申君	春申君
開國	開国 (曖昧さ回避)
東漢駒	東漢駒
漢燕敬王	劉沢
民國	民国
永樂 (釋義)	永楽
李密 (釋義)	李密
天順 (釋義)	天順
天啟 (釋義)	天啓
天授	天授
天授 (大理)	天授 (大理)
天漢	天漢
天統	天統
天順 (元)	天順 (元)
太陽病	太陽病
子夏	子夏
延陵季子	季札
孫鄰	孫鄰
Template:User nan-3	Template:User zh-min-nan-3
Template:User lzh-3	Template:User zh-classical-3
Template:User zh-wuu	Template:User zh-wuu
Category:類書	Category:類書
Template:FZW-Intro	Template:井戸端
Category:隋年號	Category:隋の元号
Template:User zh-cmn	Template:User zh-cmn
岳雲	岳雲
崔休	崔休
開元	開元
張養浩	張養浩
張裕釗	張裕ショウ
徐用儀	徐用儀
朱之瑜	朱舜水
李舜臣懋欽	李舜臣 (明)
雨冰	雨氷
正德 (釋義)	正徳
江州 (釋義)	江州
沈既濟	沈既済
涼	涼
淳熙	淳熙
Template:海王星之衛星	Template:海王星の衛星
米	米 (曖昧さ回避)
時辰	十二時辰
郗鑒	チ鑒
三國時代	三国時代
天平	天秤
呂乂	呂乂
宮市	宮市
尚絅大學短期大學部	尚絅大学短期大学部
川村短期大學	川村短期大学
張汎	張汎
張震	張震 (孫呉)
憲法改定之議	憲法改正論議
李舜臣子思	李舜臣 (宋)
李遷哲	李遷哲
淡水線	淡水線
漢中	漢中
王昶	王昶 (清)
物部乙麻呂	石上乙麻呂
石上宅嗣	石上宅嗣
神獸	神獣
神獸 (北魏)	神獣 (年号)
福岡縣社會保育短期大學	福岡県社会保育短期大学
紹治	紹治
Template:SUBJECTSPACE formatted	Template:SUBJECTSPACE ja ex
綾川	綾川
羊烈	羊烈
羊玄保	羊玄保
群	群
蘇	蘇 (曖昧さ回避)
裴行儉	裴行倹
趙汝愚	趙汝愚
遇羅克	遇羅克
金文京	金文京
閻溫	閻温
鶴城	鶴城
Template:湖北行政區劃	Template:湖北省の行政区画
Template:法國二戰期間的坦克與裝甲車	Template:第二次世界大戦のフランスの装甲戦闘車両
Template:Multi-listen item	Template:Multi-listen item
Template:Documentation/end box	Template:Documentation/end box
Template:User zh-yue-0	Template:User zh-yue-0
Template:HideH	Template:Hideh
Template:VH1	Template:VH1
Template:Vtext	Template:Vtext
Template:VtextEnd	Template:VtextEnd
Template:VtextStart	Template:VtextStart
Template:VH2	Template:VH2
Template:VH3	Template:VH3
Template:Vtext0	Template:Vtext0
Template:警告4	Template:Test4
Category:陳郡袁氏	Category:陳郡袁氏
高雄市私立中山高級工商職業學校	高雄市私立中山工商職業学校
上元	小正月
Template:Style/IPA	Template:Style/IPA
Template:Style/yid	Template:Style/yid
潘多拉病毒	パンドラウイルス属
Template:User Environmentalist	Template:User Environment
Template:非禮	Template:性的
Category:阮氏大南年號	Category:阮朝の元号
Category:隴西李氏	Category:隴西李氏
Category:范陽盧氏	Category:范陽盧氏
Template:JIS2004字體	Template:JIS2004フォント
麗水市	麗水市 (浙江省)
Template:User ryu-2	Template:User ryu-2
建康 (釋義)	建康
Module:Yesno	モジュール:Yesno
Module:Message box	モジュール:Message box
Module:Category handler	モジュール:Category handler
Module:Message box/configuration	モジュール:Message box/configuration
如釋冰	レット・イット・ゴー (ディズニーの曲)
端午	端午
七夕	七夕
Module:Arguments	モジュール:Arguments
Special:近易	特別:最近の更新
Category:藤原北家	Category:藤原北家
雅樂	雅楽
齊	斉
龍	竜 (曖昧さ回避)
Module:Namespace detect	モジュール:Namespace detect
Module:HtmlBuilder	モジュール:HtmlBuilder
Module:String	モジュール:String
Module:InfoboxImage	モジュール:InfoboxImage
Module:Navbar	モジュール:Navbar
Module:Navbox	モジュール:Navbox
Module:Infobox	モジュール:Infobox
黑龍江省 (釋義)	黒竜江省 (曖昧さ回避)
甲午昆明斫殺	2014年昆明駅暴力テロ事件
羊祉	羊祉
梁	梁
洪憲	洪憲
Module:Namespace detect/config	モジュール:Namespace detect/config
Template:Cnpref/table	Template:Cnpref/table
Template:User ryu	Template:User ryu-N
Category:龍	Category:中国の竜
高雄	高雄
大田	大田
甲午招遠擊殺案	2014年山東招遠カルト殺人事件
磯部磯兵衛物語	磯部磯兵衛物語〜浮世はつらいよ〜
妓	娼婦
雨傘運動	2014年香港反政府デモ
羊深	羊深
Category:河內司馬氏	Category:河内司馬氏
代言 (動漫)	マスコット
